TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
2,L,6,AR/86,VJ/86,254,304,54,1xICU
3,L,6,VJ/86,FA/86,306,321,58,1xICU
4,L,6,FA/86,CPH/86,327,452,246,2xICU
7,L,10,AR/86,VJ/86,320,364,153,2xICA
8,L,10,VJ/86,FA/86,366,381,203,2xICA
9,L,10,FA/86,CPH/86,387,512,614,"1xERF, 3xICA"
12,L,11,OD/86,FA/86,303,334,10,1xICA
13,L,11,FA/86,VJ/86,338,351,15,2xICA
14,L,11,VJ/86,AR/86,353,398,69,1xICA
17,L,14,AR/86,VJ/86,380,424,413,3xICA
18,L,14,VJ/86,FA/86,426,441,462,4xICA
19,L,14,FA/86,CPH/86,447,572,663,"1xERF, 4xICA"
22,L,15,OD/86,FA/86,366,394,92,1xMGA
23,L,15,FA/86,VJ/86,396,409,126,1xMGA
24,L,15,VJ/86,AR/86,411,455,182,1xMGA
27,L,18,AR/86,VJ/86,440,484,485,4xICA
28,L,18,VJ/86,FA/86,486,501,467,4xICA
29,L,18,FA/86,CPH/86,507,632,492,4xICA
32,L,19,CPH/86,FA/86,326,454,332,"1xERF, 2xICA"
33,L,19,FA/86,VJ/86,458,471,300,2xICA
34,L,19,VJ/86,AR/86,473,518,232,2xICA
37,L,22,AR/86,VJ/86,500,544,280,2xICA
38,L,22,VJ/86,FA/86,546,561,268,2xICA
39,L,22,FA/86,CPH/86,567,692,337,"1xERF, 2xICA"
42,L,23,CPH/86,FA/86,386,514,414,"1xERF, 2xICA"
43,L,23,FA/86,VJ/86,518,531,253,2xICA
44,L,23,VJ/86,AR/86,533,578,226,2xICA
47,L,26,AR/86,VJ/86,560,604,226,2xICA
48,L,26,VJ/86,FA/86,606,621,257,2xICA
49,L,26,FA/86,CPH/86,627,752,373,"1xERF, 2xICA"
52,L,27,CPH/86,FA/86,446,574,482,"1xERF, 2xICA"
53,L,27,FA/86,VJ/86,578,591,231,2xICA
54,L,27,VJ/86,AR/86,593,638,195,2xICA
57,L,30,AR/86,VJ/86,620,664,253,2xICA
58,L,30,VJ/86,FA/86,666,681,278,2xICA
59,L,30,FA/86,CPH/86,687,812,333,3xICA
62,L,31,CPH/86,FA/86,506,634,350,"1xERF, 2xICA"
63,L,31,FA/86,VJ/86,638,651,227,2xICA
64,L,31,VJ/86,AR/86,653,698,218,2xICA
67,L,34,AR/86,VJ/86,680,724,226,2xICA
68,L,34,VJ/86,FA/86,726,741,248,2xICA
69,L,34,FA/86,CPH/86,747,872,348,"1xERF, 2xICA"
72,L,35,CPH/86,FA/86,566,694,237,2xICA
73,L,35,FA/86,VJ/86,698,711,160,2xICA
74,L,35,VJ/86,AR/86,713,758,146,1xICA
77,L,38,AR/86,VJ/86,740,784,221,2xICA
78,L,38,VJ/86,FA/86,786,801,229,2xICA
79,L,38,FA/86,CPH/86,807,932,388,"1xERF, 2xICA"
82,L,39,CPH/86,FA/86,626,754,322,"1xERF, 2xICA"
83,L,39,FA/86,VJ/86,758,771,295,2xICA
84,L,39,VJ/86,AR/86,773,818,263,2xICA
87,L,42,AR/86,VJ/86,800,844,267,2xICA
88,L,42,VJ/86,FA/86,846,861,298,2xICA
89,L,42,FA/86,CPH/86,867,992,419,"1xERF, 2xICA"
