TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Electrified,GGVId,Distance,UnitSpecificId
1137,RØ,295,CPH/86,RO/86,5,39,9,True,-1,37.9,EB15Talgo_1
2377,M,9176,RO/86,KK/86,60,92,0,True,-1,34.4,EB15Talgo_1
2240,IC,823,KK/86,OD/86,383,480,186,True,-1,161.2,EB15Talgo_1
2241,IC,823,OD/86,ES/86,489,566,137,True,-1,142.3,EB15Talgo_1
2244,IC,826,ES/86,OD/86,572,652,54,True,-1,142.3,EB15Talgo_1
2245,IC,826,OD/86,HGL/86,660,763,140,True,-1,163.3,EB15Talgo_1
2296,IC,851,HGL/86,OD/86,796,900,189,True,251_851,163.3,EB15Talgo_1
2297,IC,851,OD/86,ES/86,909,986,148,True,251_851,142.3,EB15Talgo_1
2300,IC,854,ES/86,OD/86,992,1072,105,True,-1,142.3,EB15Talgo_1
2301,IC,854,OD/86,HGL/86,1080,1183,119,True,-1,163.3,EB15Talgo_1
2489,M,9785,HGL/86,CPH/86,1297,1326,0,True,-1,17.0,EB15Talgo_1
2480,M,9782,CPH/86,HGL/86,152,179,0,True,-1,17.0,EB15Talgo_2
2232,IC,819,HGL/86,OD/86,316,420,109,True,-1,163.3,EB15Talgo_2
2233,IC,819,OD/86,ES/86,429,506,145,True,-1,142.3,EB15Talgo_2
2236,IC,822,ES/86,OD/86,511,592,74,True,-1,142.3,EB15Talgo_2
2237,IC,822,OD/86,KK/86,600,697,158,True,-1,161.2,EB15Talgo_2
1760,RØ,4445,KK/86,NÆ/86,698,772,46,True,-1,82.3,EB15Talgo_2
1620,RØ,4234,NÆ/86,HG/86,808,932,192,True,-1,136.9,EB15Talgo_2
1879,RØ,4565,HG/86,HK/86,943,1057,352,True,-1,113.3,EB15Talgo_2
939,RØ,2550,HK/86,HG/86,1073,1187,107,True,-1,113.3,EB15Talgo_2
981,RØ,2583,HG/86,RO/86,1213,1298,86,True,-1,77.5,EB15Talgo_2
999,RØ,266,RO/86,CPH/86,1340,1374,12,True,-1,37.9,EB15Talgo_2
2401,M,9302,CPH/86,KH/86,222,235,0,True,-1,11.8,EB15Talgo_3
888,RØ,2519,KH/86,HK/86,312,367,18,True,-1,67.1,EB15Talgo_3
1797,RØ,4504,HK/86,HG/86,383,497,314,True,-1,113.3,EB15Talgo_3
1623,RØ,4235,HG/86,NÆ/86,508,632,296,True,-1,136.9,EB15Talgo_3
776,RØ,2424,NÆ/86,KH/86,636,703,51,True,-1,79.2,EB15Talgo_3
1334,EX,395,KH/86,HMB/80,742,1024,282,True,-1,506.1,EB15Talgo_3
10,IC,104,FA/86,KK/86,296,439,319,True,-1,223.7,EB15Talgo_4
1201,RØ,3327,KK/86,RO/86,446,478,187,True,-1,34.4,EB15Talgo_4
1198,RØ,3310,RO/86,KK/86,497,529,164,True,-1,34.4,EB15Talgo_4
2272,IC,839,KK/86,OD/86,623,720,157,True,-1,161.2,EB15Talgo_4
2273,IC,839,OD/86,ES/86,729,806,104,True,-1,142.3,EB15Talgo_4
2276,IC,842,ES/86,OD/86,812,892,152,True,242_842,142.3,EB15Talgo_4
2277,IC,842,OD/86,HGL/86,900,1003,242,True,242_842,163.3,EB15Talgo_4
2328,IC,867,HGL/86,OD/86,1036,1140,372,True,-1,163.3,EB15Talgo_4
2329,IC,867,OD/86,ES/86,1149,1226,114,True,-1,142.3,EB15Talgo_4
736,IC,2387,ES/86,FA/86,1421,1485,3,True,-1,88.5,EB15Talgo_4
27,EX,1198,HMB/80,PA/86,410,534,0,True,-1,184.5,EB15Talgo_5
28,EX,1198,PA/86,KH/86,543,698,68,True,-1,321.6,EB15Talgo_5
2120,M,6343,KH/86,CPH/86,730,744,0,True,-1,11.8,EB15Talgo_5
876,IC,251,CPH/86,OD/86,785,890,138,True,251_851,166.9,EB15Talgo_5
767,IC,242,OD/86,CPH/86,909,1014,179,True,242_842,166.9,EB15Talgo_5
1039,RØ,275,CPH/86,SG/86,1145,1215,44,True,-1,99.5,EB15Talgo_5
993,RØ,262,SG/86,CPH/86,1244,1314,27,True,-1,99.5,EB15Talgo_5
1351,EX,396,HMB/80,KH/86,653,938,274,True,-1,506.1,EB15Talgo_6
1360,EX,399,KH/86,HMB/80,982,1264,201,True,-1,506.1,EB15Talgo_6
23,EX,1196,HMB/80,PA/86,712,833,0,True,-1,184.5,EB15Talgo_7
24,EX,1196,PA/86,KH/86,843,998,149,True,-1,321.6,EB15Talgo_7
31,EX,1199,KH/86,PA/86,1102,1257,158,True,-1,321.6,EB15Talgo_7
32,EX,1199,PA/86,HMB/80,1262,1384,0,True,-1,184.5,EB15Talgo_7
