TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified
L,6,Start,254,AR/86,254,0,0.0,true
L,6,AR/86,254,VJ/86,304,54,82.8,false
L,6,VJ/86,306,FA/86,321,58,25.7,false
L,6,FA/86,327,CPH/86,452,246,230.2,true
L,6,CPH/86,452,End,452,0,0.0,true
L,10,Start,320,AR/86,320,0,0.0,true
L,10,AR/86,320,VJ/86,364,153,82.8,false
L,10,VJ/86,366,FA/86,381,203,25.7,false
L,10,FA/86,387,CPH/86,512,614,230.2,true
L,10,CPH/86,512,End,512,0,0.0,true
L,11,Start,303,OD/86,303,0,0.0,true
L,11,OD/86,303,FA/86,334,10,60.3,true
L,11,FA/86,338,VJ/86,351,15,25.7,false
L,11,VJ/86,353,AR/86,398,69,82.8,false
L,11,AR/86,398,End,398,0,0.0,true
L,14,Start,380,AR/86,380,0,0.0,true
L,14,AR/86,380,VJ/86,424,413,82.8,false
L,14,VJ/86,426,FA/86,441,462,25.7,false
L,14,FA/86,447,CPH/86,572,663,230.2,true
L,14,CPH/86,572,End,572,0,0.0,true
L,15,Start,366,OD/86,366,0,0.0,true
L,15,OD/86,366,FA/86,394,92,60.3,true
L,15,FA/86,396,VJ/86,409,126,25.7,false
L,15,VJ/86,411,AR/86,455,182,82.8,false
L,15,AR/86,455,End,455,0,0.0,true
L,18,Start,440,AR/86,440,0,0.0,true
L,18,AR/86,440,VJ/86,484,485,82.8,false
L,18,VJ/86,486,FA/86,501,467,25.7,false
L,18,FA/86,507,CPH/86,632,492,230.2,true
L,18,CPH/86,632,End,632,0,0.0,true
L,19,Start,326,CPH/86,326,0,0.0,true
L,19,CPH/86,326,FA/86,454,332,230.2,true
L,19,FA/86,458,VJ/86,471,300,25.7,false
L,19,VJ/86,473,AR/86,518,232,82.8,false
L,19,AR/86,518,End,518,0,0.0,true
L,22,Start,500,AR/86,500,0,0.0,true
L,22,AR/86,500,VJ/86,544,280,82.8,false
L,22,VJ/86,546,FA/86,561,268,25.7,false
L,22,FA/86,567,CPH/86,692,337,230.2,true
L,22,CPH/86,692,End,692,0,0.0,true
L,23,Start,386,CPH/86,386,0,0.0,true
L,23,CPH/86,386,FA/86,514,414,230.2,true
L,23,FA/86,518,VJ/86,531,253,25.7,false
L,23,VJ/86,533,AR/86,578,226,82.8,false
L,23,AR/86,578,End,578,0,0.0,true
L,26,Start,560,AR/86,560,0,0.0,true
L,26,AR/86,560,VJ/86,604,226,82.8,false
L,26,VJ/86,606,FA/86,621,257,25.7,false
L,26,FA/86,627,CPH/86,752,373,230.2,true
L,26,CPH/86,752,End,752,0,0.0,true
L,27,Start,446,CPH/86,446,0,0.0,true
L,27,CPH/86,446,FA/86,574,482,230.2,true
L,27,FA/86,578,VJ/86,591,231,25.7,false
L,27,VJ/86,593,AR/86,638,195,82.8,false
L,27,AR/86,638,End,638,0,0.0,true
L,30,Start,620,AR/86,620,0,0.0,true
L,30,AR/86,620,VJ/86,664,253,82.8,false
L,30,VJ/86,666,FA/86,681,278,25.7,false
L,30,FA/86,687,CPH/86,812,333,230.2,true
L,30,CPH/86,812,End,812,0,0.0,true
L,31,Start,506,CPH/86,506,0,0.0,true
L,31,CPH/86,506,FA/86,634,350,230.2,true
L,31,FA/86,638,VJ/86,651,227,25.7,false
L,31,VJ/86,653,AR/86,698,218,82.8,false
L,31,AR/86,698,End,698,0,0.0,true
L,34,Start,680,AR/86,680,0,0.0,true
L,34,AR/86,680,VJ/86,724,226,82.8,false
L,34,VJ/86,726,FA/86,741,248,25.7,false
L,34,FA/86,747,CPH/86,872,348,230.2,true
