TrainId,FromStation,ConnectionStation,ToStation,ArrivalAtConnection,DepartureFromConnection
6,Start,AR/86,VJ/86,254,254
6,AR/86,VJ/86,FA/86,304,306
6,VJ/86,FA/86,CPH/86,321,327
6,FA/86,CPH/86,End,452,452
10,Start,AR/86,VJ/86,320,320
10,AR/86,VJ/86,FA/86,364,366
10,VJ/86,FA/86,CPH/86,381,387
10,FA/86,CPH/86,End,512,512
11,Start,OD/86,FA/86,303,303
11,OD/86,FA/86,VJ/86,334,338
11,FA/86,VJ/86,AR/86,351,353
11,VJ/86,AR/86,End,398,398
14,Start,AR/86,VJ/86,380,380
14,AR/86,VJ/86,FA/86,424,426
14,VJ/86,FA/86,CPH/86,441,447
14,FA/86,CPH/86,End,572,572
15,Start,OD/86,FA/86,366,366
15,OD/86,FA/86,VJ/86,394,396
15,FA/86,VJ/86,AR/86,409,411
15,VJ/86,AR/86,End,455,455
18,Start,AR/86,VJ/86,440,440
18,AR/86,VJ/86,FA/86,484,486
18,VJ/86,FA/86,CPH/86,501,507
18,FA/86,CPH/86,End,632,632
19,Start,CPH/86,FA/86,326,326
19,CPH/86,FA/86,VJ/86,454,458
19,FA/86,VJ/86,AR/86,471,473
19,VJ/86,AR/86,End,518,518
22,Start,AR/86,VJ/86,500,500
22,AR/86,VJ/86,FA/86,544,546
22,VJ/86,FA/86,CPH/86,561,567
22,FA/86,CPH/86,End,692,692
23,Start,CPH/86,FA/86,386,386
23,CPH/86,FA/86,VJ/86,514,518
23,FA/86,VJ/86,AR/86,531,533
23,VJ/86,AR/86,End,578,578
26,Start,AR/86,VJ/86,560,560
26,AR/86,VJ/86,FA/86,604,606
26,VJ/86,FA/86,CPH/86,621,627
26,FA/86,CPH/86,End,752,752
27,Start,CPH/86,FA/86,446,446
27,CPH/86,FA/86,VJ/86,574,578
27,FA/86,VJ/86,AR/86,591,593
27,VJ/86,AR/86,End,638,638
30,Start,AR/86,VJ/86,620,620
30,AR/86,VJ/86,FA/86,664,666
30,VJ/86,FA/86,CPH/86,681,687
30,FA/86,CPH/86,End,812,812
31,Start,CPH/86,FA/86,506,506
31,CPH/86,FA/86,VJ/86,634,638
31,FA/86,VJ/86,AR/86,651,653
31,VJ/86,AR/86,End,698,698
34,Start,AR/86,VJ/86,680,680
34,AR/86,VJ/86,FA/86,724,726
34,VJ/86,FA/86,CPH/86,741,747
34,FA/86,CPH/86,End,872,872
35,Start,CPH/86,FA/86,566,566
35,CPH/86,FA/86,VJ/86,694,698
35,FA/86,VJ/86,AR/86,711,713
35,VJ/86,AR/86,End,758,758
38,Start,AR/86,VJ/86,740,740
38,AR/86,VJ/86,FA/86,784,786
38,VJ/86,FA/86,CPH/86,801,807
38,FA/86,CPH/86,End,932,932
39,Start,CPH/86,FA/86,626,626
39,CPH/86,FA/86,VJ/86,754,758
39,FA/86,VJ/86,AR/86,771,773
39,VJ/86,AR/86,End,818,818
42,Start,AR/86,VJ/86,800,800
42,AR/86,VJ/86,FA/86,844,846
42,VJ/86,FA/86,CPH/86,861,867
42,FA/86,CPH/86,End,992,992
43,Start,CPH/86,FA/86,686,686
43,CPH/86,FA/86,VJ/86,814,818
43,FA/86,VJ/86,AR/86,831,833
43,VJ/86,AR/86,End,878,878
46,Start,AR/86,VJ/86,860,860
46,AR/86,VJ/86,FA/86,904,906
46,VJ/86,FA/86,CPH/86,921,927
46,FA/86,CPH/86,End,1052,1052
47,Start,CPH/86,FA/86,746,746
47,CPH/86,FA/86,VJ/86,874,878
47,FA/86,VJ/86,AR/86,891,893
47,VJ/86,AR/86,End,938,938
50,Start,AR/86,VJ/86,920,920
50,AR/86,VJ/86,FA/86,964,966
50,VJ/86,FA/86,CPH/86,981,987
50,FA/86,CPH/86,End,1112,1112
51,Start,CPH/86,FA/86,806,806
51,CPH/86,FA/86,VJ/86,934,938
51,FA/86,VJ/86,AR/86,951,953
51,VJ/86,AR/86,End,998,998
54,Start,AR/86,VJ/86,980,980
54,AR/86,VJ/86,FA/86,1024,1026
54,VJ/86,FA/86,CPH/86,1041,1047
54,FA/86,CPH/86,End,1172,1172
55,Start,CPH/86,FA/86,866,866
55,CPH/86,FA/86,VJ/86,994,998
55,FA/86,VJ/86,AR/86,1011,1013
55,VJ/86,AR/86,End,1058,1058
58,Start,AR/86,VJ/86,1040,1040
58,AR/86,VJ/86,FA/86,1084,1086
58,VJ/86,FA/86,CPH/86,1101,1107
58,FA/86,CPH/86,End,1232,1232
59,Start,CPH/86,FA/86,926,926
59,CPH/86,FA/86,VJ/86,1054,1058
59,FA/86,VJ/86,AR/86,1071,1073
59,VJ/86,AR/86,End,1118,1118
62,Start,AR/86,VJ/86,1100,1100
62,AR/86,VJ/86,FA/86,1144,1146
62,VJ/86,FA/86,CPH/86,1161,1167
62,FA/86,CPH/86,End,1292,1292
63,Start,CPH/86,FA/86,986,986
