TrainCategory,TrainId,Route
M,9784,"CPH/86, HGL/86"
IC,2377,"ES/86, FA/86"
RØ,1248,"NF/86, KH/86"
RØ,1249,"KH/86, NF/86"
RØ,2423,"KH/86, NÆ/86"
M,9783,"HGL/86, KH/86"
RØ,3542,"KB/86, KK/86"
RØ,1520,"KB/86, KK/86"
RØ,3435,"HG/86, KH/86"
EX,392,"HMB/80, KH/86"
RØ,2464,"NÆ/86, KH/86"
RØ,4581,"HG/86, HK/86"
M,12198,"KH/86, HGL/86"
RØ,4271,"HG/86, RO/86"
IC,4136,"ABL/86, AR/86"
L,67,"CPH/86, FA/86, VJ/86, AR/86"
RØ,3306,"RO/86, KK/86"
M,9024,"KH/86, HG/86"
RØ,2225,"HG/86, NÆ/86"
RØ,270,"RO/86, CPH/86"
RØ,3206,"NF/86, KH/86"
RØ,3523,"KK/86, KB/86"
IC,2387,"ES/86, FA/86"
RV,2981,"KD/86, FA/86"
IC,193,"KH/86, OD/86"
L,22,"AR/86, VJ/86, FA/86, CPH/86"
RØ,231,"CPH/86, SG/86"
RØ,2265,"HG/86, NÆ/86"
IC,835,"HGL/86, OD/86, ES/86"
RØ,4219,"HG/86, KH/86"
RR,983,"FA/86, SDB/86"
IC,460,"AR/86, FA/86"
RØ,4202,"NÆ/86, HG/86"
RØ,4552,"HK/86, HG/86"
RV,2768,"FA/86, OD/86"
IC,202,"OD/86, CPH/86"
RØ,2583,"HG/86, RO/86"
M,9700,"KH/86, HGL/86"
L,11,"OD/86, FA/86, VJ/86, AR/86"
RØ,2228,"NÆ/86, HG/86"
L,4018,"AB/86, AR/86"
IC,161,"HGL/86, FA/86"
M,6320,"CPH/86, HGL/86"
RØ,4283,"HG/86, KH/86"
RØ,2229,"HG/86, NÆ/86"
IC,818,"ES/86, OD/86, HGL/86"
RV,4737,"OD/86, FA/86"
M,7098,"AR/86, FA/86"
IC,101,"KH/86, FA/86, AR/86"
IC,227,"CPH/86, OD/86"
RV,2320,"FA/86, ES/86"
IC,2321,"ES/86, FA/86"
IC,2333,"ES/86, FA/86"
RØ,4536,"HK/86, HG/86"
IC,1493,"CPH/86, KH/86"
IC,172,"FA/86, KH/86"
IC,4145,"AR/86, ABL/86"
L,19,"CPH/86, FA/86, VJ/86, AR/86"
RØ,218,"SG/86, CPH/86"
L,967,"FA/86, SDB/86"
RØ,2447,"KK/86, NÆ/86"
IC,2361,"ES/86, FA/86"
IC,4172,"ABL/86, AR/86"
IC,5754,"FLB/80, FA/86"
RØ,2575,"HG/86, HK/86"
RØ,4247,"HG/86, NÆ/86"
IC,100,"OD/86, KK/86"
IC,449,"FA/86, AR/86"
RØ,2240,"NÆ/86, HG/86"
L,27,"CPH/86, FA/86, VJ/86, AR/86"
RV,2765,"OD/86, FA/86"
RØ,243,"CPH/86, SG/86"
RV,2759,"OD/86, FA/86"
RØ,2221,"KH/86, NÆ/86"
RØ,4402,"NÆ/86, KH/86"
M,6459,"HGL/86, KK/86"
RØ,287,"CPH/86, RO/86"
M,9785,"HGL/86, CPH/86"
RØ,4837,"NÆ/86, NF/86"
RV,2974,"FA/86, KD/86"
RØ,4279,"HG/86, RO/86"
L,722,"STR/86, FA/86"
RØ,2232,"NÆ/86, HG/86"
IC,867,"HGL/86, OD/86, ES/86"
RØ,2487,"KK/86, NÆ/86"
IC,468,"AR/86, FA/86"
RØ,226,"SG/86, CPH/86"
RØ,2506,"HK/86, HG/86"
RØ,2257,"HG/86, NÆ/86"
L,10,"AR/86, VJ/86, FA/86, CPH/86"
RV,2325,"ES/86, FA/86"
RØ,4817,"NÆ/86, NF/86"
RØ,2542,"HK/86, HG/86"
IC,5762,"FLB/80, FA/86"
RØ,1240,"NF/86, KH/86"
IC,847,"HGL/86, OD/86, ES/86"
RØ,2559,"HG/86, HK/86"
RØ,4816,"NF/86, NÆ/86"
IC,117,"KH/86, FA/86"
RØ,1545,"KK/86, KB/86"
RØ,2443,"KK/86, NÆ/86"
RØ,2291,"KH/86, NÆ/86"
RV,3922,"AR/86, FA/86"
IC,160,"FA/86, KH/86"
IC,433,"FA/86, AR/86"
RØ,2455,"KK/86, NÆ/86"
M,9115,"NÆ/86, VO/86"
RØ,3310,"RO/86, KK/86"
RØ,4437,"KH/86, NÆ/86"
IC,465,"FA/86, AR/86"
IC,850,"ES/86, OD/86, HGL/86"
L,4062,"ABL/86, AR/86"
IC,802,"OD/86, HGL/86"
RØ,254,"SG/86, CPH/86"
M,12199,"HGL/86, KH/86"
RØ,2554,"HK/86, HG/86"
RØ,2404,"NÆ/86, KH/86"
M,6432,"KH/86, CPH/86"
RØ,3431,"HG/86, KH/86"
M,6348,"KH/86, HGL/86"
L,35,"CPH/86, FA/86, VJ/86, AR/86"
IC,246,"OD/86, CPH/86"
RØ,1512,"KB/86, KK/86"
RØ,4266,"RO/86, HG/86"
RØ,4869,"NÆ/86, NF/86"
IC,4153,"AR/86, ABL/86"
RR,4714,"FA/86, OD/86"
IC,4128,"ABL/86, AR/86"
IC,185,"KH/86, OD/86"
IC,4107,"AR/86, ABL/86"
RØ,3429,"HG/86, KH/86"
RØ,3467,"HG/86, KH/86"
RØ,4422,"NÆ/86, KK/86"
RØ,2241,"HG/86, NÆ/86"
M,6431,"HGL/86, CPH/86"
RØ,2270,"NÆ/86, KH/86"
IC,416,"AR/86, FA/86"
IC,2353,"ES/86, FA/86"
IC,4144,"ABL/86, AR/86"
M,9000,"KH/86, HG/86"
RØ,1573,"KK/86, KB/86"
L,74,"AR/86, VJ/86, FA/86"
IC,862,"ES/86, OD/86, KK/86"
RØ,4565,"HG/86, HK/86"
RØ,1537,"KK/86, KB/86"
RØ,4461,"KH/86, NÆ/86"
RØ,2416,"NÆ/86, KK/86"
RØ,2451,"KK/86, NÆ/86"
L,649,"KH/86, FA/86"
L,950,"SDB/86, FA/86"
IC,428,"AR/86, FA/86"
M,9323,"KH/86, CPH/86"
L,951,"FA/86, SDB/86"
RØ,1233,"KH/86, NF/86"
RV,2909,"FA/86, AR/86"
RØ,2427,"KH/86, NÆ/86"
RØ,2571,"HG/86, HK/86"
RØ,2249,"HG/86, NÆ/86"
RØ,4553,"HG/86, HK/86"
RØ,4548,"HK/86, HG/86"
IC,157,"HGL/86, FA/86, AR/86"
IC,5753,"FA/86, FLB/80"
IC,206,"OD/86, CPH/86"
RV,4745,"OD/86, FA/86"
RØ,4833,"NÆ/86, NF/86"
RØ,2428,"NÆ/86, KK/86"
RØ,1581,"KK/86, KB/86"
IC,5767,"FA/86, FLB/80"
RØ,4512,"HK/86, HG/86"
RØ,1500,"KB/86, KK/86"
RØ,4524,"HK/86, HG/86"
IC,1489,"CPH/86, KH/86"
RV,4761,"OD/86, FA/86"
IC,168,"FA/86, KH/86"
RØ,4255,"HG/86, NÆ/86"
RV,4713,"OD/86, FA/86"
RØ,267,"CPH/86, SG/86"
RØ,2567,"HG/86, HK/86"
RØ,4528,"HK/86, HG/86"
IC,2332,"FA/86, ES/86"
RØ,2530,"HK/86, HG/86"
RØ,4239,"HG/86, NÆ/86"
RØ,4537,"HG/86, HK/86"
M,12397,"HGL/86, KH/86"
RØ,1204,"NF/86, KH/86"
RØ,2202,"KH/86, HG/86"
RØ,3546,"KB/86, KK/86"
RØ,1532,"KB/86, KK/86"
RV,2969,"FA/86, AR/86"
RØ,3404,"KH/86, HG/86"
RØ,4473,"KH/86, NÆ/86"
IC,173,"KK/86, FA/86"
RØ,1541,"KH/86, KB/86"
IC,429,"FA/86, AR/86"
IC,2328,"FA/86, ES/86"
RV,4740,"FA/86, OD/86"
RV,3915,"FA/86, AR/86"
IC,5760,"FLB/80, FA/86"
IC,1401,"CPH/86, KH/86"
RV,2932,"AR/86, FA/86"
L,659,"KH/86, FA/86"
L,4019,"AR/86, ABL/86"
RØ,2514,"HK/86, HG/86"
RV,2949,"FA/86, AR/86"
RØ,234,"SG/86, CPH/86"
RV,2728,"FA/86, OD/86"
RØ,4508,"HK/86, HG/86"
M,12398,"KH/86, HGL/86"
IC,854,"ES/86, OD/86, HGL/86"
L,4011,"AR/86, ABL/86"
RØ,2527,"HG/86, HK/86"
RØ,3446,"KH/86, HG/86"
RV,2736,"FA/86, OD/86"
IC,112,"FA/86, HGL/86"
IC,2371,"ES/86, FA/86"
RØ,2448,"NÆ/86, KH/86"
IC,830,"ES/86, OD/86, HGL/86"
RØ,4421,"KH/86, NÆ/86"
IC,471,"FA/86, AR/86"
IC,5761,"FA/86, FLB/80"
IC,2308,"FA/86, ES/86"
IC,4192,"AB/86, AR/86"
IC,177,"HGL/86, FA/86"
RØ,230,"SG/86, CPH/86"
RØ,1216,"NF/86, KH/86"
M,940397,"HMB/80, AA/80"
L,23,"CPH/86, FA/86, VJ/86, AR/86"
L,18,"AR/86, VJ/86, FA/86, CPH/86"
IC,214,"OD/86, CPH/86"
RØ,3463,"HG/86, KH/86"
IC,823,"KK/86, OD/86, ES/86"
RØ,2431,"KH/86, NÆ/86"
L,4007,"AR/86, ABL/86"
RØ,4529,"HG/86, HK/86"
RØ,4820,"NF/86, NÆ/86"
IC,190,"AR/86, FA/86, KH/86"
IC,181,"KH/86, FA/86, AR/86"
RØ,3436,"KH/86, HG/86"
RV,3951,"FA/86, AR/86"
RV,2727,"OD/86, FA/86"
RØ,271,"CPH/86, SG/86"
IC,156,"FA/86, KK/86"
IC,4168,"ABL/86, AR/86"
RØ,4832,"NF/86, NÆ/86"
IC,2368,"FA/86, ES/86"
RØ,1525,"KK/86, KB/86"
IC,4179,"AR/86, AB/86"
RØ,1208,"NF/86, KH/86"
L,43,"CPH/86, FA/86, VJ/86, AR/86"
RØ,4845,"NÆ/86, NF/86"
RØ,2400,"NÆ/86, KH/86"
IC,145,"KK/86, FA/86"
RØ,2233,"HG/86, NÆ/86"
IC,1490,"KH/86, CPH/86"
L,4058,"ABL/86, AR/86"
RØ,1577,"KH/86, KB/86"
RØ,2562,"HK/86, HGL/86"
RØ,4545,"HG/86, HK/86"
IC,826,"ES/86, OD/86, HGL/86"
IC,474,"AR/86, FA/86"
RØ,4251,"HG/86, NÆ/86"
RØ,1544,"KB/86, KK/86"
IC,136,"AR/86, FA/86, HGL/86"
IC,855,"HGL/86, OD/86, ES/86"
RV,2785,"OD/86, FA/86"
RØ,4234,"NÆ/86, HG/86"
IC,4148,"ABL/86, AR/86"
L,4066,"ABL/86, AR/86"
RØ,2420,"NÆ/86, KK/86"
RØ,3810,"NF/86, NÆ/86"
M,6370,"KK/86, KH/86"
RØ,2460,"NÆ/86, KH/86"
L,927,"FA/86, SDB/86"
RØ,4577,"HG/86, HK/86"
IC,223,"CPH/86, OD/86"
IC,1485,"CPH/86, KH/86"
L,4035,"AR/86, ABL/86"
IC,4156,"ABL/86, AR/86"
RØ,3863,"NÆ/86, NF/86"
L,30,"AR/86, VJ/86, FA/86, CPH/86"
EX,398,"HMB/80, KH/86"
M,9300,"CPH/86, KH/86"
M,9730,"KH/86, HGL/86"
RØ,1548,"KB/86, KK/86"
RØ,2459,"KK/86, NÆ/86"
RØ,4556,"HK/86, HG/86"
RØ,4450,"NÆ/86, KH/86"
RØ,3327,"KK/86, RO/86"
RV,4716,"FA/86, OD/86"
L,15,"OD/86, FA/86, VJ/86, AR/86"
RØ,2253,"HG/86, NÆ/86"
IC,5757,"FA/86, FLB/80"
