Abbreviations,Long Name
AA/80,Hamburg-Altona
AB/86,Aalborg
ABL/86,Aalborg Lufthavn
ABV/86,Aalborg Vestby
AD/86,Arden
ADA/86,Adamshøj
ADF/80,Hamburg Dammtor
AEC/80,Eckernförde
AEL/80,Elmshorn
AE_F/80,Hamburg-Eidelstedt Ef
AE_O/80,Hamburg-Eidelstedt Eo
AFW/80,Flensburg Weiche
AG/74,Anneberg
AHAL/80,Harrislee
AHM/74,Aleholm
AHM/80,Husum
AHROO/80,Hamburg-Rothenburgsort Ro
AIZ/80,Itzehoe
AJ/80,Jübek
AK/80,Kiel Hbf
AL/74,Arløv
ALA/80,Hamburg Langenfelde Bbf
ALB/86,Albertslund
ALOF/80,Hamburg-Lokstedt
AM/74,Almedal
ANG/86,Vangede
ANY/74,Aneby
AO/80,Bad Oldesloe
AP/80,Pinneberg (Hamburg)
AP/86,Aarup
AR/80,Rendsburg
AR/86,Aarhus H
ARB/74,Arboga
ARL/86,Århus logistikpark
ASB/80,Bad Segeberg
ASUE/80,Süderbrarup
ASW/80,Schleswig
ATP/74,Attarp
AV/74,Alvesta
AVH/86,Avedøre Havnevej
AVØ/86,Avedøre
BA/86,Ballerup
BAN/86,Bavnehøj
BAV/86,Bagsværd
BB/86,Brande
BD/86,Bred
BDF/74,Bodafors
BET/86,Brejning
BFT/86,Bernstorffsvej
BHB/74,Brækne-Hoby
BI/86,Birkerød
BIT/86,Bispebjerg
BJ/86,Bjerringbro
BJS/86,Bjæverskov
BJUV/74,Bjuv
BK/86,Børkop
BL/80,Berlin Hbf (Hauptbahnhof
BL/86,Brønderslev
BLD/74,Blædinge
BLV/74,Burløv
BM/86,Bramming
BML/74,Bromølla
BO/86,Borup
BP/74,Brænnarp
BP/86,Brørup
BPAF/80,Berlin Südkreuz
BR/86,Brabrand
BSA/86,Brøndby Strand
BSPD/80,Berlin-Spandau
BTP/74,Biskopstorp
BUD/86,Buddinge
BX/74,Boxholm
BÅA/74,Bergåsa
BÅN/74,Båstad N
BØT/86,Brøndbyøster
CB/86,Carlsberg
CH/86,Charlottenlund
CK/74,Karlskrona C
CPH/86,Kbh. Lufthavn
CR/74,Kristianstad C
CRGB/74,Kristianstad Gbg
D/74,Degerøn
DAH/86,Danshøj
DAT/74,Dammstorp
DBT/86,Dybbølsbro
DF/86,Døllefjelde Musse
