TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,GGVId
L,10,AR/86,320,VJ/86,364,153,82.8,false,10_910
L,10,VJ/86,366,FA/86,381,203,25.7,false,10_910
L,10,FA/86,387,CPH/86,512,614,230.2,true,10_910
IC,100,OD/86,249,KK/86,361,141,163.4,true,-1
IC,104,FA/86,296,KK/86,439,319,223.7,true,-1
IC,112,FA/86,416,HGL/86,565,391,225.8,true,112_2312_412
IC,116,FA/86,476,HGL/86,625,169,225.8,true,116_2316_4116_416
EX,1191,KH/86,322,PA/86,477,58,321.6,true,-1
EX,1191,PA/86,482,HMB/80,604,0,184.5,true,-1
EX,1196,HMB/80,712,PA/86,833,0,184.5,true,-1
EX,1196,PA/86,843,KH/86,998,149,321.6,true,-1
EX,1198,HMB/80,410,PA/86,534,0,184.5,true,-1
EX,1198,PA/86,543,KH/86,698,68,321.6,true,-1
EX,1199,KH/86,1102,PA/86,1257,158,321.6,true,-1
EX,1199,PA/86,1262,HMB/80,1384,0,184.5,true,-1
L,11_4011,OD/86,303,FA/86,334,10,60.3,true,11_4011_911
L,11_4011,FA/86,338,VJ/86,351,15,25.7,false,11_4011_911
L,11_4011,VJ/86,353,AR/86,398,69,82.8,false,11_4011_911
L,11_4011,AR/86,405,ABL/86,488,125,145.3,false,11_4011_911
RØ,1204,NF/86,338,KH/86,415,224,144.7,false,-1
RØ,1208,NF/86,398,KH/86,475,395,144.7,false,-1
IC,121,KH/86,350,FA/86,482,212,220.6,true,121_2321_421_4121
RØ,1212,NF/86,458,KH/86,535,258,144.7,false,-1
RØ,1216,NF/86,518,KH/86,595,183,144.7,false,-1
M,12191,HGL/86,296,KH/86,308,0,5.2,true,-1
M,12196,KH/86,1003,HGL/86,1015,0,5.2,true,-1
M,12198,KH/86,703,HGL/86,715,0,5.2,true,-1
M,12199,HGL/86,1085,KH/86,1097,0,5.2,true,-1
RØ,1220,NF/86,578,KH/86,655,100,144.7,false,1220_1541
RØ,1221,KH/86,364,NF/86,449,79,144.7,false,1221_2219_2221_4821
RØ,1224,NF/86,638,KH/86,715,103,144.7,false,-1
