TrainId,FromStation,ConnectionStation,ToStation,ArrivalAtConnection,DepartureFromConnection
10,AR/86,KGV/86,SD/86,05:23:00,05:23:00
10,KGV/86,SD/86,HÅ/86,05:32:00,05:34:00
10,SD/86,HÅ/86,HS/86,05:41:00,05:41:00
10,HÅ/86,HS/86,HED/86,05:47:00,05:49:00
10,HS/86,HED/86,VJ/86,05:57:00,05:57:00
10,HED/86,VJ/86,BET/86,06:04:00,06:06:00
10,VJ/86,BET/86,FA/86,06:11:00,06:11:00
10,BET/86,FA/86,SNO/86,06:21:00,06:27:00
10,FA/86,SNO/86,OD/86,06:29:00,06:29:00
10,SNO/86,OD/86,MV/86,06:54:00,06:57:00
10,OD/86,MV/86,KH/86,07:02:00,07:02:00
10,MV/86,KH/86,BAN/86,08:06:00,08:18:00
10,KH/86,BAN/86,CPH/86,08:21:00,08:21:00
100,OD/86,MV/86,LV/86,04:14:00,04:14:00
100,MV/86,LV/86,UV/86,04:16:00,04:17:00
100,LV/86,UV/86,NG/86,04:20:00,04:20:00
100,UV/86,NG/86,SPR/86,04:25:00,04:27:00
100,NG/86,SPR/86,KØ/86,04:33:00,04:33:00
100,SPR/86,KØ/86,FO/86,04:39:00,04:40:00
100,KØ/86,FO/86,SG/86,04:44:00,04:44:00
100,FO/86,SG/86,SO/86,04:48:00,04:50:00
100,SG/86,SO/86,FJ/86,04:58:00,04:59:00
100,SO/86,FJ/86,RG/86,05:03:00,05:03:00
100,FJ/86,RG/86,KY/86,05:07:00,05:09:00
100,RG/86,KY/86,RO/86,05:14:00,05:14:00
100,KY/86,RO/86,TRK/86,05:24:00,05:26:00
100,RO/86,TRK/86,HTÅ/86,05:28:00,05:28:00
100,TRK/86,HTÅ/86,GL/86,05:33:00,05:34:00
100,HTÅ/86,GL/86,VAL/86,05:39:00,05:39:00
100,GL/86,VAL/86,KH/86,05:43:00,05:44:00
100,VAL/86,KH/86,KN/86,05:50:00,05:55:00
100,KH/86,KN/86,KK/86,05:57:00,05:58:00
101,KH/86,VAL/86,HIF/86,00:39:00,00:41:00
101,VAL/86,HIF/86,HTÅ/86,00:44:00,00:44:00
101,HIF/86,HTÅ/86,HH/86,00:51:00,00:52:00
101,HTÅ/86,HH/86,RO/86,00:56:00,00:56:00
101,HH/86,RO/86,VY/86,01:00:00,01:02:00
101,RO/86,VY/86,RG/86,01:08:00,01:08:00
101,VY/86,RG/86,FJ/86,01:19:00,01:21:00
101,RG/86,FJ/86,SO/86,01:26:00,01:26:00
101,FJ/86,SO/86,SG/86,01:29:00,01:31:00
101,SO/86,SG/86,FO/86,01:39:00,01:41:00
101,SG/86,FO/86,KØ/86,01:46:00,01:46:00
101,FO/86,KØ/86,SPR/86,01:50:00,01:51:00
101,KØ/86,SPR/86,NG/86,01:58:00,01:58:00
101,SPR/86,NG/86,JU/86,02:04:00,02:06:00
101,NG/86,JU/86,OD/86,02:09:00,02:09:00
101,JU/86,OD/86,HP/86,02:20:00,02:22:00
101,OD/86,HP/86,MD/86,02:28:00,02:28:00
101,HP/86,MD/86,SNO/86,02:47:00,02:48:00
101,MD/86,SNO/86,FA/86,02:53:00,02:53:00
101,SNO/86,FA/86,BK/86,02:57:00,03:03:00
101,FA/86,BK/86,VJ/86,03:09:00,03:09:00
101,BK/86,VJ/86,HED/86,03:17:00,03:19:00
101,VJ/86,HED/86,HS/86,03:28:00,03:28:00
101,HED/86,HS/86,HÅ/86,03:35:00,03:37:00
101,HS/86,HÅ/86,SD/86,03:45:00,03:45:00
101,HÅ/86,SD/86,HX/86,03:53:00,03:54:00
101,SD/86,HX/86,AR/86,03:59:00,03:59:00
104,FA/86,SNO/86,MD/86,04:59:00,04:59:00
104,SNO/86,MD/86,KA/86,05:03:00,05:05:00
104,MD/86,KA/86,OD/86,05:09:00,05:09:00
104,KA/86,OD/86,MV/86,05:27:00,05:29:00
104,OD/86,MV/86,LV/86,05:34:00,05:34:00
104,MV/86,LV/86,UV/86,05:37:00,05:38:00
104,LV/86,UV/86,NG/86,05:41:00,05:41:00
104,UV/86,NG/86,SPR/86,05:45:00,05:47:00
104,NG/86,SPR/86,KØ/86,05:53:00,05:53:00
104,SPR/86,KØ/86,FO/86,05:59:00,06:00:00
104,KØ/86,FO/86,SG/86,06:04:00,06:04:00
104,FO/86,SG/86,SO/86,06:08:00,06:10:00
104,SG/86,SO/86,FJ/86,06:18:00,06:19:00
104,SO/86,FJ/86,RG/86,06:23:00,06:23:00
104,FJ/86,RG/86,KY/86,06:27:00,06:29:00
104,RG/86,KY/86,RO/86,06:34:00,06:34:00
104,KY/86,RO/86,TRK/86,06:44:00,06:46:00
104,RO/86,TRK/86,HTÅ/86,06:48:00,06:48:00
104,TRK/86,HTÅ/86,GL/86,06:53:00,06:54:00
104,HTÅ/86,GL/86,VAL/86,06:59:00,06:59:00
104,GL/86,VAL/86,KH/86,07:03:00,07:04:00
104,VAL/86,KH/86,KN/86,07:10:00,07:13:00
104,KH/86,KN/86,KK/86,07:15:00,07:16:00
107,KH/86,VAL/86,HIF/86,02:39:00,02:40:00
107,VAL/86,HIF/86,HTÅ/86,02:43:00,02:43:00
107,HIF/86,HTÅ/86,HH/86,02:49:00,02:51:00
107,HTÅ/86,HH/86,RO/86,02:54:00,02:54:00
107,HH/86,RO/86,VY/86,02:58:00,03:00:00
107,RO/86,VY/86,RG/86,03:06:00,03:06:00
107,VY/86,RG/86,FJ/86,03:17:00,03:19:00
107,RG/86,FJ/86,SO/86,03:24:00,03:24:00
107,FJ/86,SO/86,SG/86,03:27:00,03:29:00
107,SO/86,SG/86,FO/86,03:37:00,03:39:00
107,SG/86,FO/86,KØ/86,03:44:00,03:44:00
107,FO/86,KØ/86,SPR/86,03:48:00,03:49:00
107,KØ/86,SPR/86,NG/86,03:56:00,03:56:00
107,SPR/86,NG/86,JU/86,04:02:00,04:04:00
107,NG/86,JU/86,OD/86,04:07:00,04:07:00
107,JU/86,OD/86,HP/86,04:18:00,04:21:00
107,OD/86,HP/86,MD/86,04:26:00,04:26:00
107,HP/86,MD/86,SNO/86,04:45:00,04:46:00
107,MD/86,SNO/86,FA/86,04:51:00,04:51:00
107,SNO/86,FA/86,BK/86,04:55:00,05:05:00
107,FA/86,BK/86,VJ/86,05:11:00,05:11:00
107,BK/86,VJ/86,HED/86,05:18:00,05:20:00
107,VJ/86,HED/86,HS/86,05:28:00,05:28:00
107,HED/86,HS/86,HÅ/86,05:35:00,05:37:00
107,HS/86,HÅ/86,SD/86,05:44:00,05:44:00
107,HÅ/86,SD/86,HX/86,05:51:00,05:52:00
107,SD/86,HX/86,AR/86,05:57:00,05:57:00
11,OD/86,HP/86,MD/86,05:07:00,05:07:00
11,HP/86,MD/86,SNO/86,05:24:00,05:26:00
11,MD/86,SNO/86,FA/86,05:31:00,05:31:00
11,SNO/86,FA/86,BK/86,05:34:00,05:38:00
11,FA/86,BK/86,VJ/86,05:44:00,05:44:00
11,BK/86,VJ/86,HED/86,05:51:00,05:53:00
11,VJ/86,HED/86,HS/86,06:01:00,06:01:00
11,HED/86,HS/86,HÅ/86,06:08:00,06:10:00
11,HS/86,HÅ/86,SD/86,06:17:00,06:17:00
11,HÅ/86,SD/86,HX/86,06:24:00,06:25:00
11,SD/86,HX/86,AR/86,06:30:00,06:30:00
112,FA/86,SNO/86,MD/86,06:59:00,06:59:00
