Station_A,Station_B,Distance_KM,Electrified
A,AGG,10.256,true
A,BGS,5.302,true
AA,ADF,5.1,true
AA,ALA,2.8,true
AAL,ÅP,1.59,true
AAL,SKB,0.0,false
AAL,HLP,7.15,true
AAL,HEL,0.0,false
AAU,RYN,0.0,true
AAU,NØA,0.0,true
AB,OG,4.3,false
AB,ABV,1.2,false
ABL,LIH,2.5,false
ABV,LIH,1.8,false
AD,SØ,7.6,false
AD,HB,15.5,false
ADA,RG,5.0,true
ADA,BJS,10.6,true
ADF,AH_Z,10.0,false
ADF,HMB,1.8,true
ADF,ALA,6.0,true
AEC,ASUE,20.2,false
AEC,AK,31.0,false
AEL,NEU,44.2,true
AEL,AE_F,23.1,true
AEL,AIZ,34.814,true
AEL,AP,14.7,true
AE_F,ALOF,6.2,true
AE_F,ALA,3.3,true
AE_F,AE_O,0.6,true
AE_O,AP,7.7,true
AFW,AHAL,2.9,true
AFW,AJ,22.22,true
AFW,ASW,33.2,true
AFW,FLB,3.3,true
AG,LGD,1.2,true
AG,LDO,4.5,true
AGB,GBM,5.86,true
AGB,SUE,5.11,true
AGG,VGÅ,10.816,true
AGRO,OLD,18.2,false
AGRO,PU,18.2,false
AHAL,FLB,5.6,true
AHAL,PAGR,5.3,true
AHAR,HMB,12.6,true
AHAR,MAS,7.8,true
AHM,SY,11.047,true
AHM,SÄ,0.546,true
AHM,AIZ,93.337,false
AHM,AJ,25.854,false
AHROO,ALOF,14.6,true
AHROO,HMB,4.2,true
AK,SD,5.1,false
AK,NEU,30.9,true
AK,AR,39.6,false
AK,RY,7.2,false
AL,ALI,1.132,true
AL,FL,10.0,true
AL,LMA,0.0,false
AL,MGB,2.2,true
AL,BLV,1.3,true
ALH,ÆLR,2.47,true
ALH,ÆN,5.925,true
ALI,LMA,3.667,true
ALY,HMB,63.9,true
ALY,ASCH,6.0,false
AM,MDÖ,3.513,true
AM,LIS,1.8,true
AM,MDN,2.4,true
AMT,VEM,5.5,false
AMT,BKM,2.8,false
ANB,AUP,6.4,false
ANY,RAS,4.672,true
ANY,FLS,5.662,true
AN_HVN,GR_HVN,0.0,false
AO,HMB,40.411,false
AO,ASB,16.766,false
AP,BD,3.6,true
AP,GD,5.5,true
APD,BS,15.3,true
APD,HIL,6.1,true
APN,ASD,1.436,true
APN,J,3.048,true
AR,KGV,3.0,false
AR,EU,0.8,false
AR,KGVN,2.739,false
AR,DOK,0.0,true
AR,NEU,39.2,true
AR,GR_HVN,0.0,false
AR,ASW,24.5,true
AR,BR,6.7,false
ARB,JBK,2.667,true
ARB,KP,18.0,true
ARB,ÖR,46.0,true
ARL,HN,14.7,false
ARL,BR,1.8,false
ARM,LMV,0.0,false
ARM,BNT,0.0,false
ARN,VA,0.5,false
ARN,VNO,1.5,false
AR_HVN,ODD_HVN,0.0,false
ASB,NEU,28.673,false
ASB,KIN,2.19,true
ASB,SEE,1.507,true
ASCH,OLD,46.3,false
ASD,LR,1.169,true
ASN,GRV,3.4,false
ASN,FVJ,3.2,false
ASS,MAL,4.177,false
ASS,RUH,2.889,false
ASUE,FLB,29.2,false
ATP,HM,6.4,true
ATP,VÖV,5.7,true
AUH,OPA,0.0,true
AUH,GSK,0.0,true
AUP,SDL,3.683,false
AV,GÅP,5.147,true
AV,RYM,19.7,true
AV,GM,7.3,true
AV,BLD,7.2,true
AVD,SØL,4.1,false
AVD,NSK,5.1,false
AVE_HVN,LYØ_HVN,0.0,false
AVE_HVN,FAA_HVN,0.0,false
AVH,IG,2.0,true
AVH,KIB,13.5,true
BAA,VIP,5.2,true
BAA,Ä,4.942,true
BAH,OKS,1.9,false
BAH,VRØ,1.2,false
BAK,EU,0.4,false
BAK,ØS,0.8,false
BAK,NØA,0.0,true
BAK,DOK,0.0,true
BAL_HVN,KB_HVN,0.0,false
BAN,KH,2.4,true
BAN,KLV,2.4,true
BAT,KLI,0.0,false
BAT,LMV,3.7,false
BB,FT,7.8,false
BB,TY,9.5,false
BD,SC,2.4,true
BDF,GT,5.695,true
BDF,UTP,3.306,true
BDY,RFT,9.131,true
BDY,FOD,6.01,true
BED,VH,1.64,false
BED,EG,0.9,false
BET,VJ,10.9,false
BET,BK,2.9,false
BG,EV,6.3,false
BG,IK,7.6,false
BGD,HO,1.9,true
BGD,MU,10.8,true
BGM,SEE,3.856,true
BGM,BJO,6.48,true
BGS,VBD,1.414,true
BGV,HÅL,4.782,true
BGV,HNÄ,11.968,true
BHB,RB,16.9,true
BHB,ÅMN,11.452,true
BHS,SUE,2.52,true
BHS,NØES,3.417,true
BIB,TGP,5.9,true
BIB,TP,6.0,true
BIC,HU,2.4,false
BIC,HR,3.3,false
BIH,ÅP,8.95,true
BIH,KD,10.3,true
BIM,JAD,2.8,false
BIM,HST,2.5,false
BJ,UP,8.8,false
BJ,RK,10.9,false
BJ,FDF,7.452,true
BJ,ØX,8.325,true
BJM,HM,16.16,true
BJM,VSJ,6.751,true
BJO,HRE,9.151,true
BJS,LEL,6.5,true
BJUV,ÅP,6.17,true
BJUV,MÖR,4.21,true
BJY,TJ,4.647,true
BJY,SNÖ,8.87,true
BK,FA,11.9,false
BKM,SIT,3.3,false
BL,SU,11.4,false
BL,MUD,0.2,true
BL,BPAF,5.78,false
BL,HM2,7.0,true
BL,BSPD,15.4,false
BL,VR,9.9,false
BLD,VS,6.8,true
BLS,BPAF,5.78,false
BLS,BSPD,15.4,false
BLV,ÅK,2.6,true
BM,GØ,6.0,true
BM,SEJ,4.2,false
BM,TB,8.1,true
BML,FKI,12.2,true
BML,SÖG,7.8,true
BML,BML1,1.2,true
BML1,FKI1,10.0,true
BMT,SMS,1.5,false
