TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified
EX,1199,KH/86,18:22:00,GB/86,18:25:00,158,3.2,true
EX,1199,GB/86,18:25:00,RG/86,18:50:00,158,58.5,true
EX,1199,RG/86,18:52:00,FJ/86,18:56:00,155,7.6,true
EX,1199,FJ/86,18:56:00,OD/86,19:33:00,155,88.8,true
EX,1199,OD/86,19:36:00,HP/86,19:41:00,119,8.6,true
EX,1199,HP/86,19:41:00,KD/86,20:12:00,119,65.1,true
EX,1199,KD/86,20:15:00,LK/86,20:22:00,118,12.9,true
EX,1199,LK/86,20:22:00,PA/86,20:57:00,118,76.9,true
EX,1199,PA/86,21:02:00,PAGR/86,21:03:00,0,1.0,true
EX,1199,PAGR/86,21:03:00,ASW/80,21:28:00,0,41.4,true
EX,1199,ASW/80,21:30:00,AR/80,22:00:00,0,24.5,true
EX,1199,AR/80,22:00:00,HMB/80,23:04:00,0,117.6,true
EX,1198,HMB/80,06:50:00,ADF/80,06:57:00,0,1.8,true
EX,1198,ADF/80,06:57:00,ASW/80,08:24:00,0,140.3,true
EX,1198,ASW/80,08:26:00,AFW/80,08:40:00,0,33.2,true
EX,1198,AFW/80,08:40:00,PA/86,08:54:00,0,9.2,true
EX,1198,PA/86,09:03:00,VK/86,09:07:00,6,6.8,true
EX,1198,VK/86,09:07:00,KD/86,09:44:00,6,83.0,true
EX,1198,KD/86,09:46:00,TL/86,09:52:00,18,11.3,true
EX,1198,TL/86,09:52:00,OD/86,10:24:00,18,62.4,true
EX,1198,OD/86,10:27:00,MV/86,10:31:00,65,9.3,true
EX,1198,MV/86,10:31:00,RG/86,11:07:00,65,87.1,true
EX,1198,RG/86,11:09:00,ADA/86,11:13:00,68,5.0,true
EX,1198,ADA/86,11:13:00,KH/86,11:38:00,68,56.7,true
EX,1191,KH/86,05:22:00,GB/86,05:25:00,33,3.2,true
EX,1191,GB/86,05:25:00,RG/86,05:50:00,33,58.5,true
EX,1191,RG/86,05:52:00,FJ/86,05:56:00,45,7.6,true
EX,1191,FJ/86,05:56:00,OD/86,06:33:00,45,88.8,true
EX,1191,OD/86,06:36:00,HP/86,06:41:00,58,8.6,true
EX,1191,HP/86,06:41:00,KD/86,07:12:00,58,65.1,true
EX,1191,KD/86,07:15:00,LK/86,07:22:00,11,12.9,true
EX,1191,LK/86,07:22:00,PA/86,07:57:00,11,76.9,true
EX,1191,PA/86,08:02:00,PAGR/86,08:03:00,0,1.0,true
EX,1191,PAGR/86,08:03:00,ASW/80,08:28:00,0,41.4,true
EX,1191,ASW/80,08:30:00,AR/80,09:00:00,0,24.5,true
EX,1191,AR/80,09:00:00,HMB/80,10:04:00,0,117.6,true
EX,1196,HMB/80,11:52:00,ADF/80,11:57:00,0,1.8,true
EX,1196,ADF/80,11:57:00,ASW/80,13:25:00,0,140.3,true
EX,1196,ASW/80,13:27:00,AFW/80,13:40:00,0,33.2,true
EX,1196,AFW/80,13:40:00,PA/86,13:53:00,0,9.2,true
EX,1196,PA/86,14:03:00,VK/86,14:07:00,31,6.8,true
EX,1196,VK/86,14:07:00,KD/86,14:44:00,31,83.0,true
EX,1196,KD/86,14:46:00,TL/86,14:52:00,45,11.3,true
EX,1196,TL/86,14:52:00,OD/86,15:24:00,45,62.4,true
EX,1196,OD/86,15:27:00,MV/86,15:31:00,149,9.3,true
EX,1196,MV/86,15:31:00,RG/86,16:07:00,149,87.1,true
EX,1196,RG/86,16:09:00,ADA/86,16:13:00,146,5.0,true
EX,1196,ADA/86,16:13:00,KH/86,16:38:00,146,56.7,true
EX,398,HMB/80,08:55:00,ADF/80,08:56:00,0,1.8,true
EX,398,ADF/80,08:56:00,ASW/80,10:23:00,0,140.3,true
EX,398,ASW/80,10:25:00,AFW/80,10:40:00,0,33.2,true
EX,398,AFW/80,10:40:00,PA/86,10:53:00,0,9.2,true
EX,398,PA/86,11:03:00,VK/86,11:07:00,235,6.8,true
EX,398,VK/86,11:07:00,KD/86,11:44:00,235,83.0,true
EX,398,KD/86,11:46:00,TL/86,11:52:00,210,11.3,true
EX,398,TL/86,11:52:00,OD/86,12:24:00,210,62.4,true
EX,398,OD/86,12:27:00,MV/86,12:31:00,237,9.3,true
EX,398,MV/86,12:31:00,RG/86,13:07:00,237,87.1,true
EX,398,RG/86,13:09:00,ADA/86,13:12:00,243,5.0,true
EX,398,ADA/86,13:12:00,KH/86,13:38:00,243,56.7,true
EX,399,KH/86,16:22:00,GB/86,16:25:00,201,3.2,true
EX,399,GB/86,16:25:00,RG/86,16:50:00,201,58.5,true
EX,399,RG/86,16:52:00,FJ/86,16:56:00,133,7.6,true
EX,399,FJ/86,16:56:00,OD/86,17:33:00,133,88.8,true
