TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified
L,10,Start,320,AR/86,320,0,0.0,true
L,10,AR/86,320,KGV/86,323,92,3.0,false
L,10,KGV/86,323,SD/86,332,92,19.8,false
L,10,SD/86,334,HÅ/86,341,121,14.1,false
L,10,HÅ/86,341,HS/86,347,121,14.5,false
L,10,HS/86,349,HED/86,357,153,16.3,false
L,10,HED/86,357,VJ/86,364,153,15.1,false
L,10,VJ/86,366,BET/86,371,203,10.9,false
L,10,BET/86,371,FA/86,381,203,14.8,false
L,10,FA/86,387,SNO/86,389,302,4.3,true
L,10,SNO/86,389,OD/86,414,302,56.0,true
L,10,OD/86,417,MV/86,422,614,9.3,true
L,10,MV/86,422,KH/86,486,614,148.8,true
L,10,KH/86,498,BAN/86,501,83,2.4,true
L,10,BAN/86,501,CPH/86,512,83,9.4,true
L,10,CPH/86,512,End,512,0,0.0,true
IC,100,Start,249,OD/86,249,0,0.0,true
IC,100,OD/86,249,MV/86,254,23,9.3,true
IC,100,MV/86,254,LV/86,256,23,4.4,true
IC,100,LV/86,257,UV/86,260,23,5.1,true
IC,100,UV/86,260,NG/86,265,23,9.9,true
IC,100,NG/86,267,SPR/86,273,33,11.4,true
IC,100,SPR/86,273,KØ/86,279,33,11.9,true
IC,100,KØ/86,280,FO/86,284,46,8.3,true
IC,100,FO/86,284,SG/86,288,46,7.1,true
IC,100,SG/86,290,SO/86,298,96,14.6,true
IC,100,SO/86,299,FJ/86,303,96,6.8,true
IC,100,FJ/86,303,RG/86,307,96,7.6,true
IC,100,RG/86,309,KY/86,314,124,7.3,true
IC,100,KY/86,314,RO/86,324,124,25.3,true
IC,100,RO/86,326,TRK/86,328,141,3.1,true
IC,100,TRK/86,328,HTÅ/86,333,141,8.7,true
IC,100,HTÅ/86,334,GL/86,339,130,8.3,true
IC,100,GL/86,339,VAL/86,343,130,7.3,true
IC,100,VAL/86,344,KH/86,350,130,3.9,true
IC,100,KH/86,355,KN/86,357,41,1.5,true
IC,100,KN/86,358,KK/86,361,41,1.6,true
IC,100,KK/86,361,End,361,0,0.0,true
IC,101,Start,35,KH/86,35,0,0.0,true
IC,101,KH/86,35,VAL/86,39,115,3.9,true
IC,101,VAL/86,41,HIF/86,44,115,3.4,true
IC,101,HIF/86,44,HTÅ/86,51,115,12.2,true
IC,101,HTÅ/86,52,HH/86,56,115,4.7,true
IC,101,HH/86,56,RO/86,60,115,7.1,true
IC,101,RO/86,62,VY/86,68,104,11.2,true
IC,101,VY/86,68,RG/86,79,104,21.4,true
IC,101,RG/86,81,FJ/86,86,102,7.6,true
IC,101,FJ/86,86,SO/86,89,102,6.8,true
IC,101,SO/86,91,SG/86,99,102,14.6,true
IC,101,SG/86,101,FO/86,106,93,7.1,true
IC,101,FO/86,106,KØ/86,110,93,8.3,true
IC,101,KØ/86,111,SPR/86,118,92,11.9,true
IC,101,SPR/86,118,NG/86,124,92,11.4,true
IC,101,NG/86,126,JU/86,129,86,5.0,true
IC,101,JU/86,129,OD/86,140,86,23.7,true
IC,101,OD/86,142,HP/86,148,75,8.6,true
IC,101,HP/86,148,MD/86,167,75,41.5,true
IC,101,MD/86,168,SNO/86,173,73,5.9,true
IC,101,SNO/86,173,FA/86,177,73,4.3,true
IC,101,FA/86,183,BK/86,189,69,11.9,false
IC,101,BK/86,189,VJ/86,197,69,13.8,false
IC,101,VJ/86,199,HED/86,208,68,15.1,false
IC,101,HED/86,208,HS/86,215,68,16.3,false
IC,101,HS/86,217,HÅ/86,225,66,14.5,false
IC,101,HÅ/86,225,SD/86,233,66,14.1,false
IC,101,SD/86,234,HX/86,239,63,8.5,false
IC,101,HX/86,239,AR/86,248,63,14.3,false
IC,101,AR/86,248,End,248,0,0.0,true
IC,104,Start,296,FA/86,296,0,0.0,true
IC,104,FA/86,296,SNO/86,299,13,4.3,true
IC,104,SNO/86,299,MD/86,303,13,5.9,true
IC,104,MD/86,305,KA/86,309,24,6.1,true
IC,104,KA/86,309,OD/86,327,24,44.0,true
IC,104,OD/86,329,MV/86,334,45,9.3,true
IC,104,MV/86,334,LV/86,337,45,4.4,true
IC,104,LV/86,338,UV/86,341,45,5.1,true
IC,104,UV/86,341,NG/86,345,45,9.9,true
IC,104,NG/86,347,SPR/86,353,114,11.4,true
IC,104,SPR/86,353,KØ/86,359,114,11.9,true
IC,104,KØ/86,360,FO/86,364,141,8.3,true
IC,104,FO/86,364,SG/86,368,141,7.1,true
IC,104,SG/86,370,SO/86,378,241,14.6,true
IC,104,SO/86,379,FJ/86,383,241,6.8,true
IC,104,FJ/86,383,RG/86,387,241,7.6,true
IC,104,RG/86,389,KY/86,394,306,7.3,true
IC,104,KY/86,394,RO/86,404,306,25.3,true
IC,104,RO/86,406,TRK/86,408,319,3.1,true
