TrainCategory,TrainId,DayType,PassengerNum,FromStation,ToStation
L,6,2,42,AR/86,SD/86
L,6,2,42,SD/86,HS/86
L,6,2,54,HS/86,VJ/86
L,6,2,58,VJ/86,FA/86
L,6,2,66,FA/86,MD/86
L,6,2,66,MD/86,OD/86
L,6,2,246,OD/86,NG/86
L,6,2,246,NG/86,KØ/86
L,6,2,246,KØ/86,SG/86
L,6,2,246,SG/86,RG/86
L,6,2,246,RG/86,KJN/86
L,6,2,246,KJN/86,KH/86
L,6,2,65,KH/86,CPH/86
L,6,3,42,AR/86,SD/86
L,6,3,42,SD/86,HS/86
L,6,3,54,HS/86,VJ/86
L,6,3,58,VJ/86,FA/86
L,6,3,66,FA/86,MD/86
L,6,3,66,MD/86,OD/86
L,6,3,246,OD/86,NG/86
L,6,3,246,NG/86,KØ/86
L,6,3,246,KØ/86,SG/86
L,6,3,246,SG/86,RG/86
L,6,3,246,RG/86,KJN/86
L,6,3,246,KJN/86,KH/86
L,6,3,65,KH/86,CPH/86
L,10,2,92,AR/86,SD/86
L,10,2,121,SD/86,HS/86
L,10,2,153,HS/86,VJ/86
L,10,2,203,VJ/86,FA/86
L,10,2,302,FA/86,MD/86
L,10,2,302,MD/86,OD/86
L,10,2,614,OD/86,NG/86
L,10,2,614,NG/86,KØ/86
L,10,2,614,KØ/86,SG/86
L,10,2,614,SG/86,RG/86
L,10,2,614,RG/86,KJN/86
L,10,2,614,KJN/86,KH/86
L,10,2,83,KH/86,CPH/86
L,10,3,92,AR/86,SD/86
L,10,3,121,SD/86,HS/86
L,10,3,153,HS/86,VJ/86
L,10,3,203,VJ/86,FA/86
L,10,3,302,FA/86,MD/86
L,10,3,302,MD/86,OD/86
L,10,3,614,OD/86,NG/86
L,10,3,614,NG/86,KØ/86
L,10,3,614,KØ/86,SG/86
L,10,3,614,SG/86,RG/86
L,10,3,614,RG/86,KJN/86
L,10,3,614,KJN/86,KH/86
L,10,3,83,KH/86,CPH/86
L,11,2,9,OD/86,MD/86
L,11,2,10,MD/86,FA/86
L,11,2,15,FA/86,VJ/86
