TrainCategory,TrainId,Station,Arrival,Departure,Type
EX,1199,KH/86,00:00:00,18:22:00,stop
EX,1199,GB/86,18:25:00,18:25:00,stop
EX,1199,NEL/86,18:26:00,18:26:00,pass
EX,1199,IG/86,18:26:20,18:26:20,pass
EX,1199,AVH/86,18:28:00,18:28:00,pass
EX,1199,KIB/86,18:34:00,18:34:00,pass
EX,1199,JSF/86,18:38:00,18:38:00,pass
EX,1199,KJN/86,18:39:00,18:39:00,pass
EX,1199,LEL/86,18:40:00,18:40:00,pass
EX,1199,BJS/86,18:42:00,18:42:00,pass
EX,1199,ADA/86,18:46:00,18:46:00,pass
EX,1199,RG/86,18:50:00,18:52:00,stop
EX,1199,FJ/86,18:56:00,18:56:00,stop
EX,1199,SO/86,18:58:00,18:58:00,pass
EX,1199,SG/86,19:04:00,19:04:00,pass
EX,1199,FO/86,19:07:00,19:07:00,pass
EX,1199,KØ/86,19:10:00,19:10:00,pass
EX,1199,SPR/86,19:16:00,19:16:00,pass
EX,1199,NG/86,19:21:00,19:21:00,pass
EX,1199,JU/86,19:23:00,19:23:00,pass
EX,1199,UV/86,19:25:00,19:25:00,pass
EX,1199,LV/86,19:27:00,19:27:00,pass
EX,1199,MV/86,19:28:00,19:28:00,pass
EX,1199,OD/86,19:33:00,19:36:00,stop
EX,1199,HP/86,19:41:00,19:41:00,stop
EX,1199,TP/86,19:44:00,19:44:00,pass
EX,1199,SC/86,19:45:00,19:45:00,pass
EX,1199,BD/86,19:46:00,19:46:00,pass
EX,1199,AP/86,19:48:00,19:48:00,pass
EX,1199,GD/86,19:50:00,19:50:00,pass
EX,1199,EB/86,19:52:00,19:52:00,pass
EX,1199,NA/86,19:54:00,19:54:00,pass
EX,1199,KA/86,19:56:00,19:56:00,pass
EX,1199,MD/86,20:00:00,20:00:00,pass
EX,1199,SNO/86,20:03:00,20:03:00,pass
EX,1199,TL/86,20:06:00,20:06:00,pass
EX,1199,KD/86,20:12:00,20:15:00,stop
EX,1199,LK/86,20:22:00,20:22:00,stop
EX,1199,VM/86,20:24:00,20:24:00,pass
EX,1199,FZ/86,20:27:00,20:27:00,pass
EX,1199,SST/86,20:30:00,20:30:00,pass
EX,1199,OJ/86,20:33:00,20:33:00,pass
EX,1199,RQ/86,20:41:00,20:41:00,pass
EX,1199,TE/86,20:48:00,20:48:00,pass
EX,1199,VK/86,20:52:00,20:52:00,pass
EX,1199,PA/86,20:57:00,21:02:00,stop
EX,1199,PAGR/86,21:03:00,21:03:00,stop
EX,1199,AHAL/80,21:10:00,21:10:00,pass
EX,1199,AFW/80,21:20:00,21:20:00,pass
EX,1199,ASW/80,21:28:00,21:30:00,stop
EX,1199,AR/80,22:00:00,22:00:00,stop
EX,1199,NEU/80,22:20:00,22:20:00,pass
EX,1199,AEL/80,22:40:00,22:40:00,pass
EX,1199,AE_F/80,22:45:00,22:45:00,pass
EX,1199,ALA/80,22:50:00,22:50:00,pass
EX,1199,ADF/80,22:56:00,22:56:00,pass
EX,1199,HMB/80,23:04:00,00:00:00,stop
EX,1198,HMB/80,00:00:00,06:50:00,stop
EX,1198,ADF/80,06:57:00,06:57:00,stop
EX,1198,ALA/80,07:05:00,07:05:00,pass
EX,1198,AE_F/80,07:10:00,07:10:00,pass
EX,1198,AEL/80,07:28:00,07:28:00,pass
EX,1198,NEU/80,07:35:00,07:35:00,pass
EX,1198,AR/80,08:00:00,08:00:00,pass
EX,1198,ASW/80,08:24:00,08:26:00,stop
EX,1198,AFW/80,08:40:00,08:40:00,stop
EX,1198,AHAL/80,08:46:00,08:46:00,pass
EX,1198,PAGR/86,08:51:00,08:51:00,pass
EX,1198,PA/86,08:54:00,09:03:00,stop
EX,1198,VK/86,09:07:00,09:07:00,stop
EX,1198,TE/86,09:11:00,09:11:00,pass
EX,1198,RQ/86,09:18:00,09:18:00,pass
EX,1198,OJ/86,09:26:00,09:26:00,pass
EX,1198,SST/86,09:30:00,09:30:00,pass
EX,1198,FZ/86,09:33:00,09:33:00,pass
EX,1198,VM/86,09:35:00,09:35:00,pass
EX,1198,LK/86,09:37:00,09:37:00,pass
EX,1198,KD/86,09:44:00,09:46:00,stop
EX,1198,TL/86,09:52:00,09:52:00,stop
EX,1198,SNO/86,09:56:00,09:56:00,pass
EX,1198,MD/86,10:00:00,10:00:00,pass
EX,1198,KA/86,10:03:00,10:03:00,pass
EX,1198,NA/86,10:05:00,10:05:00,pass
EX,1198,EB/86,10:07:00,10:07:00,pass
EX,1198,GD/86,10:08:00,10:08:00,pass
EX,1198,AP/86,10:11:00,10:11:00,pass
EX,1198,BD/86,10:13:00,10:13:00,pass
EX,1198,SC/86,10:14:00,10:14:00,pass
EX,1198,TP/86,10:15:00,10:15:00,pass
EX,1198,HP/86,10:18:00,10:18:00,pass
EX,1198,OD/86,10:24:00,10:27:00,stop
EX,1198,MV/86,10:31:00,10:31:00,stop
EX,1198,LV/86,10:33:00,10:33:00,pass
EX,1198,UV/86,10:35:00,10:35:00,pass
EX,1198,JU/86,10:37:00,10:37:00,pass
EX,1198,NG/86,10:39:00,10:39:00,pass
EX,1198,SPR/86,10:43:00,10:43:00,pass
EX,1198,KØ/86,10:48:00,10:48:00,pass
EX,1198,FO/86,10:51:00,10:51:00,pass
EX,1198,SG/86,10:54:00,10:54:00,pass
