TrainCategory,TrainID,Route
M,9784,[CPH - TÅT - KH - KN - HGL]
IC,2377,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RØ,1248,[NF - TN - VO - LU - NÆ - GZ - RG - ADA - NEL - GB - KH]
RØ,1249,[KH - GB - NEL - IG - RG - GZ - NÆ - MOG - VO - MN - NF]
RØ,2423,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
M,9783,[HGL - KK - KH]
RØ,3542,[KB - KBØ - VÆ - SE - JY - MØ - HK - PE - RO - TRK - HTÅ - GL - KH - KN - KK]
RØ,1520,[KB - KBØ - VÆ - SE - JY - MØ - KS - RT - HK - PE - RO - TRK - HTÅ - GL - KH - KN - KK]
RØ,3435,[HG - SQ - GÆ - HUM - NI - OK - RU - HL - HGL - KK - KN - KH]
EX,392,[HMB - ADF - ASW - AFW - PA - VK - KD - TL - OD - MV - RG - ADA - KH]
RØ,2464,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH]
RØ,4581,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
M,12198,[KH - KN - KK - HGL]
RØ,4271,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO]
IC,4136,[ABL - LIH - ABV - AB - OG - SØ - AD - HB - FP - RD - LG - HA - HN - AR]
L,67,[CPH - TÅT - KH - GB - OD - HP - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RØ,3306,[RO - TRK - HTÅ - GL - VAL - KH - KN - KK]
M,9024,[KH - KN - HG]
RØ,2225,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
RØ,270,[RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,3206,[NF - TN - VO - LU - NÆ - GZ - KH]
RØ,3523,[KK - KN - KH - VAL - HTÅ - HH - RO - LJ - HK - RT - JY - SE - VÆ - KBØ - KB]
IC,2387,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RV,2981,[KD - TL - FA]
