TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,OriginTrainId
L,11_911,OD/86,303,FA/86,334,10,60.3,true,11
L,11_911,FA/86,341,SDB/86,432,13,136.5,true,911
L,11_4011,OD/86,303,FA/86,334,10,60.3,true,11
L,11_4011,FA/86,338,VJ/86,351,15,25.7,false,11
L,11_4011,VJ/86,353,AR/86,398,69,82.8,false,11
L,11_4011,AR/86,405,ABL/86,488,125,145.3,false,4011
L,15_4015,OD/86,366,FA/86,394,92,60.3,true,15
L,15_4015,FA/86,396,VJ/86,409,126,25.7,false,15
L,15_4015,VJ/86,411,AR/86,455,182,82.8,false,15
L,15_4015,AR/86,465,ABL/86,548,81,145.3,false,4015
L,19_919,CPH/86,326,FA/86,454,332,230.2,true,19
L,19_919,FA/86,461,SDB/86,552,64,136.5,true,919
L,19_4019,CPH/86,326,FA/86,454,332,230.2,true,19
L,19_4019,FA/86,458,VJ/86,471,300,25.7,false,19
L,19_4019,VJ/86,473,AR/86,518,232,82.8,false,19
L,19_4019,AR/86,525,ABL/86,608,63,145.3,false,4019
L,23_723,CPH/86,386,FA/86,514,414,230.2,true,23
L,23_723,FA/86,523,STR/86,648,67,155.4,false,723
L,23_4023,CPH/86,386,FA/86,514,414,230.2,true,23
L,23_4023,FA/86,518,VJ/86,531,253,25.7,false,23
L,23_4023,VJ/86,533,AR/86,578,226,82.8,false,23
L,23_4023,AR/86,585,ABL/86,668,49,145.3,false,4023
L,27_927,CPH/86,446,FA/86,574,482,230.2,true,27
L,27_927,FA/86,581,SDB/86,672,64,136.5,true,927
L,27_4027,CPH/86,446,FA/86,574,482,230.2,true,27
L,27_4027,FA/86,578,VJ/86,591,231,25.7,false,27
L,27_4027,VJ/86,593,AR/86,638,195,82.8,false,27
L,27_4027,AR/86,645,ABL/86,728,65,145.3,false,4027
L,31_731,CPH/86,506,FA/86,634,350,230.2,true,31
L,31_731,FA/86,643,STR/86,768,72,155.4,false,731
L,31_4031,CPH/86,506,FA/86,634,350,230.2,true,31
L,31_4031,FA/86,638,VJ/86,651,227,25.7,false,31
L,31_4031,VJ/86,653,AR/86,698,218,82.8,false,31
L,31_4031,AR/86,705,ABL/86,788,80,145.3,false,4031
L,35_935,CPH/86,566,FA/86,694,237,230.2,true,35
L,35_935,FA/86,701,SDB/86,792,63,136.5,true,935
L,35_4035,CPH/86,566,FA/86,694,237,230.2,true,35
L,35_4035,FA/86,698,VJ/86,711,160,25.7,false,35
L,35_4035,VJ/86,713,AR/86,758,146,82.8,false,35
L,35_4035,AR/86,765,ABL/86,848,72,145.3,false,4035
L,39_4039,CPH/86,626,FA/86,754,322,230.2,true,39
