TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition,UnitSpecificId
907,IC,1401,CPH/86,KH/86,12,25,74,1xEB15Talgo,EB15Talgo_1
1192,RØ,2299,KH/86,NÆ/86,70,134,28,1xEB15Talgo,EB15Talgo_1
2212,RØ,4402,NÆ/86,KH/86,306,373,81,1xEB15Talgo,EB15Talgo_1
1726,RØ,3402,KH/86,HG/86,376,426,38,1xEB15Talgo,EB15Talgo_1
1744,RØ,3431,HG/86,KH/86,444,494,302,1xEB15Talgo,EB15Talgo_1
443,EX,393,KH/86,HMB/80,502,786,229,1xEB15Talgo,EB15Talgo_1
446,EX,394,HMB/80,KH/86,893,1178,232,1xEB15Talgo,EB15Talgo_1
2746,M,12394,KH/86,HGL/86,1183,1193,0,1xEB15Talgo,EB15Talgo_1
2719,M,9785,HGL/86,CPH/86,1297,1326,0,1xEB15Talgo,EB15Talgo_1
913,IC,1413,CPH/86,KH/86,206,219,4,1xEB15Talgo,EB15Talgo_2
1066,RØ,2200,KH/86,HG/86,307,362,29,1xEB15Talgo,EB15Talgo_2
2125,RØ,4227,HG/86,NÆ/86,388,512,473,1xEB15Talgo,EB15Talgo_2
1321,RØ,2416,NÆ/86,KK/86,516,592,123,1xEB15Talgo,EB15Talgo_2
646,IC,839,KK/86,OD/86,623,720,157,1xEB15Talgo,EB15Talgo_2
647,IC,839,OD/86,ES/86,729,806,104,1xEB15Talgo,EB15Talgo_2
650,IC,842,ES/86,OD/86,812,892,152,1xEB15Talgo,EB15Talgo_2
651,IC,842,OD/86,HGL/86,900,1003,242,1xEB15Talgo,EB15Talgo_2
702,IC,867,HGL/86,OD/86,1036,1140,372,1xEB15Talgo,EB15Talgo_2
703,IC,867,OD/86,ES/86,1149,1226,114,1xEB15Talgo,EB15Talgo_2
1300,IC,2377,ES/86,FA/86,1263,1327,48,1xEB15Talgo,EB15Talgo_2
1585,RR,2776,FA/86,OD/86,1347,1401,15,1xEB15Talgo,EB15Talgo_2
1591,RV,2785,OD/86,FA/86,1416,1470,14,1xEB15Talgo,EB15Talgo_2
188,IC,104,FA/86,KK/86,296,439,319,1xEB15Talgo,EB15Talgo_3
224,IC,129,KK/86,FA/86,461,602,252,1xEB15Talgo,EB15Talgo_3
221,IC,128,FA/86,KK/86,656,799,125,1xEB15Talgo,EB15Talgo_3
2275,RØ,4453,KK/86,NÆ/86,818,892,93,1xEB15Talgo,EB15Talgo_3
