TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Distance,UnitSpecificId,UnitType
907,IC,1401,CPH/86,KH/86,12,25,74,11.8,EB15Talgo_1,EB15Talgo
2194,RØ,4274,KH/86,HG/86,37,92,32,46.2,EB15Talgo_1,EB15Talgo
2125,RØ,4227,HG/86,NÆ/86,388,512,473,136.9,EB15Talgo_1,EB15Talgo
1321,RØ,2416,NÆ/86,KK/86,516,592,123,82.3,EB15Talgo_1,EB15Talgo
646,IC,839,KK/86,OD/86,623,720,157,161.2,EB15Talgo_1,EB15Talgo
647,IC,839,OD/86,ES/86,729,806,104,142.3,EB15Talgo_1,EB15Talgo
650,IC,842,ES/86,OD/86,812,892,152,142.3,EB15Talgo_1,EB15Talgo
651,IC,842,OD/86,HGL/86,900,1003,242,163.3,EB15Talgo_1,EB15Talgo
702,IC,867,HGL/86,OD/86,1036,1140,372,163.3,EB15Talgo_1,EB15Talgo
703,IC,867,OD/86,ES/86,1149,1226,114,142.3,EB15Talgo_1,EB15Talgo
1300,IC,2377,ES/86,FA/86,1263,1327,48,88.5,EB15Talgo_1,EB15Talgo
1585,RR,2776,FA/86,OD/86,1347,1401,15,60.3,EB15Talgo_1,EB15Talgo
1591,RV,2785,OD/86,FA/86,1416,1470,14,60.3,EB15Talgo_1,EB15Talgo
2668,M,9300,CPH/86,KH/86,192,205,0,11.8,EB15Talgo_2,EB15Talgo
198,IC,113,KH/86,FA/86,230,362,49,220.6,EB15Talgo_2,EB15Talgo
195,IC,112,FA/86,HGL/86,416,565,391,225.8,EB15Talgo_2,EB15Talgo
2620,M,6431,HGL/86,CPH/86,669,695,0,17.0,EB15Talgo_2,EB15Talgo
380,RØ,247,CPH/86,SG/86,725,795,42,99.5,EB15Talgo_2,EB15Talgo
359,RØ,234,SG/86,CPH/86,824,894,134,99.5,EB15Talgo_2,EB15Talgo
398,IC,259,CPH/86,OD/86,905,1010,347,166.9,EB15Talgo_2,EB15Talgo
383,IC,250,OD/86,CPH/86,1029,1134,70,166.9,EB15Talgo_2,EB15Talgo
422,RØ,275,CPH/86,SG/86,1145,1215,44,99.5,EB15Talgo_2,EB15Talgo
401,RØ,262,SG/86,CPH/86,1244,1314,27,99.5,EB15Talgo_2,EB15Talgo
431,RØ,287,CPH/86,RO/86,1325,1359,24,37.9,EB15Talgo_2,EB15Talgo
413,RØ,270,RO/86,CPH/86,1400,1434,10,37.9,EB15Talgo_2,EB15Talgo
916,IC,1417,CPH/86,KH/86,266,279,263,11.8,EB15Talgo_3,EB15Talgo
1084,RØ,2217,KH/86,NÆ/86,296,362,36,90.7,EB15Talgo_3,EB15Talgo
2215,RØ,4406,NÆ/86,KH/86,366,433,253,79.2,EB15Talgo_3,EB15Talgo
1336,RØ,2427,KH/86,NÆ/86,437,502,85,79.2,EB15Talgo_3,EB15Talgo
2107,RØ,4214,NÆ/86,HG/86,508,632,265,136.9,EB15Talgo_3,EB15Talgo
1129,RØ,2245,HG/86,NÆ/86,658,782,110,136.9,EB15Talgo_3,EB15Talgo
2248,RØ,4434,NÆ/86,KH/86,786,853,58,79.2,EB15Talgo_3,EB15Talgo
455,EX,397,KH/86,HMB/80,862,1144,149,506.1,EB15Talgo_3,EB15Talgo
2770,M,940387,AA/80,HMB/80,285,294,0,6.9,EB15Talgo_4,EB15Talgo
788,EX,1198,HMB/80,PA/86,410,534,0,184.5,EB15Talgo_4,EB15Talgo
789,EX,1198,PA/86,KH/86,543,698,68,321.6,EB15Talgo_4,EB15Talgo
2734,M,12198,KH/86,HGL/86,703,715,0,5.2,EB15Talgo_4,EB15Talgo
2749,M,12395,HGL/86,KH/86,725,737,0,5.2,EB15Talgo_4,EB15Talgo
449,EX,395,KH/86,HMB/80,742,1024,282,506.1,EB15Talgo_4,EB15Talgo
2773,M,940397,HMB/80,AA/80,1164,1177,0,6.9,EB15Talgo_4,EB15Talgo
188,IC,104,FA/86,KK/86,296,439,319,223.7,EB15Talgo_5,EB15Talgo
224,IC,129,KK/86,FA/86,461,602,252,223.7,EB15Talgo_5,EB15Talgo
221,IC,128,FA/86,KK/86,656,799,125,223.7,EB15Talgo_5,EB15Talgo
2275,RØ,4453,KK/86,NÆ/86,818,892,93,82.3,EB15Talgo_5,EB15Talgo
1120,RØ,2240,NÆ/86,HG/86,898,1022,415,136.9,EB15Talgo_5,EB15Talgo
1795,RØ,3471,HG/86,KH/86,1044,1094,62,46.2,EB15Talgo_5,EB15Talgo
792,EX,1199,KH/86,PA/86,1102,1257,158,321.6,EB15Talgo_5,EB15Talgo
793,EX,1199,PA/86,HMB/80,1262,1384,0,184.5,EB15Talgo_5,EB15Talgo
458,EX,398,HMB/80,KH/86,535,818,243,506.1,EB15Talgo_6,EB15Talgo
2707,M,9730,KH/86,HGL/86,820,830,0,5.2,EB15Talgo_6,EB15Talgo
678,IC,855,HGL/86,OD/86,856,960,314,163.3,EB15Talgo_6,EB15Talgo
679,IC,855,OD/86,ES/86,969,1046,171,142.3,EB15Talgo_6,EB15Talgo
682,IC,858,ES/86,OD/86,1052,1132,70,142.3,EB15Talgo_6,EB15Talgo
683,IC,858,OD/86,HGL/86,1140,1243,99,163.3,EB15Talgo_6,EB15Talgo
2719,M,9785,HGL/86,CPH/86,1297,1326,0,17.0,EB15Talgo_6,EB15Talgo
452,EX,396,HMB/80,KH/86,653,938,274,506.1,EB15Talgo_7,EB15Talgo
461,EX,399,KH/86,HMB/80,982,1264,201,506.1,EB15Talgo_7,EB15Talgo
784,EX,1196,HMB/80,PA/86,712,833,0,184.5,EB15Talgo_8,EB15Talgo
785,EX,1196,PA/86,KH/86,843,998,149,321.6,EB15Talgo_8,EB15Talgo
2287,RØ,4465,KH/86,NÆ/86,1007,1072,237,79.2,EB15Talgo_8,EB15Talgo
1138,RØ,2252,NÆ/86,HG/86,1078,1202,89,136.9,EB15Talgo_8,EB15Talgo
1531,RØ,2583,HG/86,RO/86,1213,1298,86,77.5,EB15Talgo_8,EB15Talgo
407,RØ,266,RO/86,CPH/86,1340,1374,12,37.9,EB15Talgo_8,EB15Talgo
1171,RØ,2272,KH/86,HG/86,7,62,29,46.2,EB4DD_1,EB4DD
2113,RØ,4219,HG/86,KH/86,268,323,60,46.2,EB4DD_1,EB4DD
211,IC,121,KH/86,FA/86,350,482,212,220.6,EB4DD_1,EB4DD
2563,IC,5755,FA/86,FLB/80,510,593,65,121.6,EB4DD_1,EB4DD
2560,IC,5754,FLB/80,FA/86,605,690,16,121.6,EB4DD_1,EB4DD
2422,RV,4732,FA/86,OD/86,690,736,8,60.3,EB4DD_1,EB4DD
1561,RV,2741,OD/86,FA/86,758,811,19,60.3,EB4DD_1,EB4DD
240,IC,140,FA/86,KK/86,836,979,236,223.7,EB4DD_1,EB4DD
282,IC,165,KK/86,FA/86,1001,1142,395,223.7,EB4DD_1,EB4DD
