TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Electrified,GGVId,Composition,UnitSpecificId
2204,IC,80108,FA/86,HGL/86,356,505,445,true,-1,1xEB15Talgo,EB15Talgo_1
2264,IC,835,HGL/86,OD/86,556,660,114,true,-1,1xEB15Talgo,EB15Talgo_1
2265,IC,835,OD/86,ES/86,669,746,74,true,-1,1xEB15Talgo,EB15Talgo_1
2276,IC,842,ES/86,OD/86,812,892,152,true,242_842,1xEB15Talgo,EB15Talgo_1
2277,IC,842,OD/86,HGL/86,900,1003,242,true,242_842,1xEB15Talgo,EB15Talgo_1
2328,IC,867,HGL/86,OD/86,1036,1140,372,true,-1,1xEB15Talgo,EB15Talgo_1
2329,IC,867,OD/86,ES/86,1149,1226,114,true,-1,1xEB15Talgo,EB15Talgo_1
736,IC,2387,ES/86,FA/86,1421,1485,3,true,-1,1xEB15Talgo,EB15Talgo_1
518,IC,223,CPH/86,OD/86,365,468,188,true,-1,1xEB15Talgo,EB15Talgo_2
1018,RV,2727,OD/86,FA/86,526,588,10,true,-1,1xEB15Talgo,EB15Talgo_2
2064,IC,5757,FA/86,FLB/80,630,713,17,true,-1,1xEB15Talgo,EB15Talgo_2
2061,IC,5756,FLB/80,FA/86,723,810,38,true,-1,1xEB15Talgo,EB15Talgo_2
1943,RV,4740,FA/86,OD/86,810,856,37,true,-1,1xEB15Talgo,EB15Talgo_2
767,IC,242,OD/86,CPH/86,909,1014,179,true,242_842,1xEB15Talgo,EB15Talgo_2
1039,RØ,275,CPH/86,SG/86,1145,1215,44,true,-1,1xEB15Talgo,EB15Talgo_2
993,RØ,262,SG/86,CPH/86,1244,1314,27,true,-1,1xEB15Talgo,EB15Talgo_2
2464,M,9702,CPH/86,HGL/86,369,397,0,true,-1,1xEB15Talgo,EB15Talgo_3
2248,IC,827,HGL/86,OD/86,436,540,259,true,227_827,1xEB15Talgo,EB15Talgo_3
2249,IC,827,OD/86,ES/86,549,626,107,true,227_827,1xEB15Talgo,EB15Talgo_3
2268,IC,838,ES/86,OD/86,752,832,106,true,238_838,1xEB15Talgo,EB15Talgo_3
2269,IC,838,OD/86,HGL/86,840,943,175,true,238_838,1xEB15Talgo,EB15Talgo_3
119,M,12399,HGL/86,KH/86,949,962,0,true,-1,1xEB15Talgo,EB15Talgo_3
1360,EX,399,KH/86,HMB/80,982,1264,201,true,-1,1xEB15Talgo,EB15Talgo_3
27,EX,1198,HMB/80,PA/86,410,534,0,true,-1,1xEB15Talgo,EB15Talgo_4
28,EX,1198,PA/86,KH/86,543,698,68,true,-1,1xEB15Talgo,EB15Talgo_4
1354,EX,397,KH/86,HMB/80,862,1144,149,true,-1,1xEB15Talgo,EB15Talgo_4
588,IC,227,CPH/86,OD/86,425,530,208,true,227_827,1xEB15Talgo,EB15Talgo_5
1934,RV,4729,OD/86,FA/86,580,626,10,true,-1,1xEB15Talgo,EB15Talgo_5
1021,RV,2728,FA/86,OD/86,635,694,11,true,-1,1xEB15Talgo,EB15Talgo_5
1940,RV,4737,OD/86,FA/86,704,750,15,true,-1,1xEB15Talgo,EB15Talgo_5
1027,RV,2736,FA/86,OD/86,750,801,15,true,-1,1xEB15Talgo,EB15Talgo_5
733,IC,238,OD/86,CPH/86,849,954,218,true,238_838,1xEB15Talgo,EB15Talgo_5
1002,RØ,267,CPH/86,SG/86,1025,1095,87,true,-1,1xEB15Talgo,EB15Talgo_5
921,RØ,254,SG/86,CPH/86,1124,1194,44,true,-1,1xEB15Talgo,EB15Talgo_5
1075,RØ,287,CPH/86,RO/86,1325,1359,24,true,-1,1xEB15Talgo,EB15Talgo_5
1005,RØ,270,RO/86,CPH/86,1400,1434,10,true,-1,1xEB15Talgo,EB15Talgo_5
