TrainCategory,TrainId,DayType,PassengerNum,FromStation,ToStation
L,6,2,42,AR,SD
L,6,2,42,SD,HS
L,6,2,54,HS,VJ
L,6,2,58,VJ,FA
L,6,2,66,FA,MD
L,6,2,66,MD,OD
L,6,2,246,OD,NG
L,6,2,246,NG,KØ
L,6,2,246,KØ,SG
L,6,2,246,SG,RG
L,6,2,246,RG,KJN
L,6,2,246,KJN,KH
L,6,2,65,KH,CPH
L,6,3,42,AR,SD
L,6,3,42,SD,HS
L,6,3,54,HS,VJ
L,6,3,58,VJ,FA
L,6,3,66,FA,MD
L,6,3,66,MD,OD
L,6,3,246,OD,NG
L,6,3,246,NG,KØ
L,6,3,246,KØ,SG
L,6,3,246,SG,RG
L,6,3,246,RG,KJN
L,6,3,246,KJN,KH
L,6,3,65,KH,CPH
L,10,2,92,AR,SD
L,10,2,121,SD,HS
L,10,2,153,HS,VJ
L,10,2,203,VJ,FA
L,10,2,302,FA,MD
L,10,2,302,MD,OD
L,10,2,614,OD,NG
L,10,2,614,NG,KØ
L,10,2,614,KØ,SG
L,10,2,614,SG,RG
L,10,2,614,RG,KJN
L,10,2,614,KJN,KH
L,10,2,83,KH,CPH
L,10,3,92,AR,SD
L,10,3,121,SD,HS
L,10,3,153,HS,VJ
L,10,3,203,VJ,FA
L,10,3,302,FA,MD
L,10,3,302,MD,OD
L,10,3,614,OD,NG
L,10,3,614,NG,KØ
L,10,3,614,KØ,SG
L,10,3,614,SG,RG
L,10,3,614,RG,KJN
L,10,3,614,KJN,KH
L,10,3,83,KH,CPH
L,11,2,9,OD,MD
L,11,2,10,MD,FA
L,11,2,15,FA,VJ
L,11,2,31,VJ,HS
L,11,2,66,HS,SD
L,11,2,69,SD,AR
L,11,3,9,OD,MD
L,11,3,10,MD,FA
L,11,3,15,FA,VJ
L,11,3,31,VJ,HS
L,11,3,66,HS,SD
L,11,3,69,SD,AR
L,14,2,306,AR,SD
L,14,2,386,SD,HS
L,14,2,413,HS,VJ
L,14,2,462,VJ,FA
L,14,2,491,FA,MD
L,14,2,491,MD,OD
L,14,2,663,OD,NG
L,14,2,663,NG,KØ
L,14,2,663,KØ,SG
L,14,2,663,SG,RG
L,14,2,663,RG,KJN
L,14,2,663,KJN,KH
L,14,2,98,KH,CPH
L,14,3,306,AR,SD
L,14,3,386,SD,HS
L,14,3,413,HS,VJ
L,14,3,462,VJ,FA
L,14,3,491,FA,MD
L,14,3,491,MD,OD
L,14,3,663,OD,NG
L,14,3,663,NG,KØ
L,14,3,663,KØ,SG
L,14,3,663,SG,RG
L,14,3,663,RG,KJN
L,14,3,663,KJN,KH
L,14,3,98,KH,CPH
L,15,2,92,OD,MD
L,15,2,92,MD,FA
L,15,2,126,FA,VJ
L,15,2,154,VJ,HS
L,15,2,182,HS,SD
L,15,2,156,SD,AR
L,15,3,92,OD,MD
L,15,3,92,MD,FA
L,15,3,126,FA,VJ
L,15,3,154,VJ,HS
L,15,3,182,HS,SD
L,15,3,156,SD,AR
L,18,2,347,AR,SD
L,18,2,485,SD,HS
L,18,2,465,HS,VJ
L,18,2,467,VJ,FA
L,18,2,454,FA,MD
L,18,2,454,MD,OD
L,18,2,492,OD,NG
L,18,2,492,NG,KØ
L,18,2,492,KØ,SG
L,18,2,492,SG,RG
L,18,2,492,RG,KJN
L,18,2,492,KJN,KH
L,18,2,119,KH,CPH
L,18,3,347,AR,SD
L,18,3,485,SD,HS
L,18,3,465,HS,VJ
L,18,3,467,VJ,FA
L,18,3,454,FA,MD
L,18,3,454,MD,OD
L,18,3,492,OD,NG
L,18,3,492,NG,KØ
L,18,3,492,KØ,SG
L,18,3,492,SG,RG
L,18,3,492,RG,KJN
L,18,3,492,KJN,KH
L,18,3,119,KH,CPH
L,19,2,6,CPH,KH
L,19,2,224,KH,KJN
L,19,2,224,KJN,RG
L,19,2,224,RG,SG
L,19,2,224,SG,KØ
L,19,2,224,KØ,NG
L,19,2,224,NG,OD
L,19,2,332,OD,MD
L,19,2,332,MD,FA
L,19,2,300,FA,VJ
L,19,2,232,VJ,HS
L,19,2,228,HS,SD
L,19,2,215,SD,AR
L,19,3,6,CPH,KH
L,19,3,224,KH,KJN
L,19,3,224,KJN,RG
L,19,3,224,RG,SG
L,19,3,224,SG,KØ
L,19,3,224,KØ,NG
L,19,3,224,NG,OD
L,19,3,332,OD,MD
L,19,3,332,MD,FA
L,19,3,300,FA,VJ
L,19,3,232,VJ,HS
L,19,3,228,HS,SD
L,19,3,215,SD,AR
L,22,2,253,AR,SD
L,22,2,275,SD,HS
L,22,2,280,HS,VJ
L,22,2,268,VJ,FA
L,22,2,314,FA,MD
L,22,2,314,MD,OD
L,22,2,337,OD,NG
L,22,2,337,NG,KØ
L,22,2,337,KØ,SG
L,22,2,337,SG,RG
L,22,2,337,RG,KJN
L,22,2,337,KJN,KH
L,22,2,96,KH,CPH
L,22,3,253,AR,SD
L,22,3,275,SD,HS
L,22,3,280,HS,VJ
L,22,3,268,VJ,FA
L,22,3,314,FA,MD
L,22,3,314,MD,OD
L,22,3,337,OD,NG
L,22,3,337,NG,KØ
L,22,3,337,KØ,SG
L,22,3,337,SG,RG
L,22,3,337,RG,KJN
L,22,3,337,KJN,KH
L,22,3,96,KH,CPH
L,23,2,6,CPH,KH
L,23,2,414,KH,KJN
L,23,2,414,KJN,RG
L,23,2,414,RG,SG
L,23,2,414,SG,KØ
L,23,2,414,KØ,NG
L,23,2,414,NG,OD
L,23,2,346,OD,MD
L,23,2,346,MD,FA
L,23,2,253,FA,VJ
L,23,2,226,VJ,HS
L,23,2,220,HS,SD
L,23,2,197,SD,AR
L,23,3,6,CPH,KH
L,23,3,414,KH,KJN
L,23,3,414,KJN,RG
L,23,3,414,RG,SG
L,23,3,414,SG,KØ
L,23,3,414,KØ,NG
L,23,3,414,NG,OD
L,23,3,346,OD,MD
L,23,3,346,MD,FA
L,23,3,253,FA,VJ
L,23,3,226,VJ,HS
L,23,3,220,HS,SD
L,23,3,197,SD,AR
L,26,2,194,AR,SD
L,26,2,219,SD,HS
L,26,2,226,HS,VJ
L,26,2,257,VJ,FA
L,26,2,335,FA,MD
L,26,2,335,MD,OD
L,26,2,373,OD,NG
L,26,2,373,NG,KØ
L,26,2,373,KØ,SG
L,26,2,373,SG,RG
L,26,2,373,RG,KJN
L,26,2,373,KJN,KH
L,26,2,90,KH,CPH
L,26,3,194,AR,SD
L,26,3,219,SD,HS
L,26,3,226,HS,VJ
L,26,3,257,VJ,FA
L,26,3,335,FA,MD
L,26,3,335,MD,OD
L,26,3,373,OD,NG
L,26,3,373,NG,KØ
L,26,3,373,KØ,SG
L,26,3,373,SG,RG
L,26,3,373,RG,KJN
L,26,3,373,KJN,KH
L,26,3,90,KH,CPH
L,27,2,17,CPH,KH
L,27,2,482,KH,KJN
L,27,2,482,KJN,RG
L,27,2,482,RG,SG
L,27,2,482,SG,KØ
L,27,2,482,KØ,NG
L,27,2,482,NG,OD
L,27,2,282,OD,MD
L,27,2,282,MD,FA
L,27,2,231,FA,VJ
L,27,2,195,VJ,HS
L,27,2,189,HS,SD
L,27,2,166,SD,AR
L,27,3,17,CPH,KH
L,27,3,482,KH,KJN
L,27,3,482,KJN,RG
L,27,3,482,RG,SG
L,27,3,482,SG,KØ
L,27,3,482,KØ,NG
L,27,3,482,NG,OD
L,27,3,282,OD,MD
L,27,3,282,MD,FA
L,27,3,231,FA,VJ
L,27,3,195,VJ,HS
L,27,3,189,HS,SD
L,27,3,166,SD,AR
L,30,2,212,AR,SD
L,30,2,235,SD,HS
L,30,2,253,HS,VJ
L,30,2,278,VJ,FA
L,30,2,274,FA,MD
L,30,2,274,MD,OD
L,30,2,333,OD,NG
L,30,2,333,NG,KØ
L,30,2,333,KØ,SG
L,30,2,333,SG,RG
L,30,2,333,RG,KJN
L,30,2,333,KJN,KH
L,30,2,59,KH,CPH
L,30,3,212,AR,SD
L,30,3,235,SD,HS
L,30,3,253,HS,VJ
L,30,3,278,VJ,FA
L,30,3,274,FA,MD
L,30,3,274,MD,OD
L,30,3,333,OD,NG
L,30,3,333,NG,KØ
L,30,3,333,KØ,SG
L,30,3,333,SG,RG
L,30,3,333,RG,KJN
L,30,3,333,KJN,KH
L,30,3,59,KH,CPH
L,31,2,43,CPH,KH
L,31,2,350,KH,KJN
L,31,2,350,KJN,RG
L,31,2,350,RG,SG
L,31,2,350,SG,KØ
L,31,2,350,KØ,NG
L,31,2,350,NG,OD
L,31,2,294,OD,MD
L,31,2,294,MD,FA
L,31,2,227,FA,VJ
L,31,2,218,VJ,HS
L,31,2,209,HS,SD
L,31,2,190,SD,AR
L,31,3,43,CPH,KH
L,31,3,350,KH,KJN
L,31,3,350,KJN,RG
L,31,3,350,RG,SG
L,31,3,350,SG,KØ
L,31,3,350,KØ,NG
L,31,3,350,NG,OD
L,31,3,294,OD,MD
L,31,3,294,MD,FA
L,31,3,227,FA,VJ
L,31,3,218,VJ,HS
L,31,3,209,HS,SD
L,31,3,190,SD,AR
L,34,2,202,AR,SD
L,34,2,214,SD,HS
L,34,2,226,HS,VJ
L,34,2,248,VJ,FA
L,34,2,302,FA,MD
L,34,2,302,MD,OD
L,34,2,348,OD,NG
L,34,2,348,NG,KØ
L,34,2,348,KØ,SG
L,34,2,348,SG,RG
L,34,2,348,RG,KJN
L,34,2,348,KJN,KH
L,34,2,70,KH,CPH
L,34,3,202,AR,SD
L,34,3,214,SD,HS
L,34,3,226,HS,VJ
L,34,3,248,VJ,FA
L,34,3,302,FA,MD
L,34,3,302,MD,OD
L,34,3,348,OD,NG
L,34,3,348,NG,KØ
L,34,3,348,KØ,SG
L,34,3,348,SG,RG
L,34,3,348,RG,KJN
L,34,3,348,KJN,KH
L,34,3,70,KH,CPH
L,35,2,39,CPH,KH
L,35,2,237,KH,KJN
L,35,2,237,KJN,RG
L,35,2,237,RG,SG
L,35,2,237,SG,KØ
L,35,2,237,KØ,NG
L,35,2,237,NG,OD
L,35,2,198,OD,MD
L,35,2,198,MD,FA
L,35,2,160,FA,VJ
L,35,2,146,VJ,HS
L,35,2,145,HS,SD
L,35,2,128,SD,AR
L,35,3,39,CPH,KH
L,35,3,237,KH,KJN
L,35,3,237,KJN,RG
L,35,3,237,RG,SG
L,35,3,237,SG,KØ
L,35,3,237,KØ,NG
L,35,3,237,NG,OD
L,35,3,198,OD,MD
L,35,3,198,MD,FA
L,35,3,160,FA,VJ
L,35,3,146,VJ,HS
L,35,3,145,HS,SD
L,35,3,128,SD,AR
L,38,2,198,AR,SD
L,38,2,214,SD,HS
L,38,2,221,HS,VJ
L,38,2,229,VJ,FA
L,38,2,289,FA,MD
L,38,2,289,MD,OD
L,38,2,388,OD,NG
L,38,2,388,NG,KØ
L,38,2,388,KØ,SG
L,38,2,388,SG,RG
L,38,2,388,RG,KJN
L,38,2,388,KJN,KH
L,38,2,67,KH,CPH
L,38,3,198,AR,SD
L,38,3,214,SD,HS
L,38,3,221,HS,VJ
L,38,3,229,VJ,FA
L,38,3,289,FA,MD
