TripId,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
1,6,Start,AR/86,254,254,0,empty
2,6,AR/86,VJ/86,254,304,54,ICU-ICU
3,6,VJ/86,FA/86,306,321,58,ICU
4,6,FA/86,CPH/86,327,452,246,EB15Talgo
5,6,CPH/86,End,452,452,0,empty
6,10,Start,AR/86,320,320,0,empty
7,10,AR/86,VJ/86,320,364,153,ICA-ICA
8,10,VJ/86,FA/86,366,381,203,ICA-ICA
9,10,FA/86,CPH/86,387,512,614,ERF-ERF-ERF
10,10,CPH/86,End,512,512,0,empty
11,11,Start,OD/86,303,303,0,empty
12,11,OD/86,FA/86,303,334,10,MGA
13,11,FA/86,VJ/86,338,351,15,MGA
14,11,VJ/86,AR/86,353,398,69,ICU
15,11,AR/86,End,398,398,0,empty
16,14,Start,AR/86,380,380,0,empty
17,14,AR/86,VJ/86,380,424,413,ICA-ICA-ICA
18,14,VJ/86,FA/86,426,441,462,ICA-ICA-ICA-ICA
19,14,FA/86,CPH/86,447,572,663,ERF-ERF-ERF
20,14,CPH/86,End,572,572,0,empty
21,15,Start,OD/86,366,366,0,empty
22,15,OD/86,FA/86,366,394,92,ERF
23,15,FA/86,VJ/86,396,409,126,ICA
24,15,VJ/86,AR/86,411,455,182,MGA
25,15,AR/86,End,455,455,0,empty
26,18,Start,AR/86,440,440,0,empty
27,18,AR/86,VJ/86,440,484,485,ICA-ICA-ICA-ICA
28,18,VJ/86,FA/86,486,501,467,ICA-ICA-ICA-ICA
29,18,FA/86,CPH/86,507,632,492,EB15Talgo
30,18,CPH/86,End,632,632,0,empty
31,19,Start,CPH/86,326,326,0,empty
32,19,CPH/86,FA/86,326,454,332,EB15Talgo
33,19,FA/86,VJ/86,458,471,300,ICA-ICA
34,19,VJ/86,AR/86,473,518,232,ICA-ICA
35,19,AR/86,End,518,518,0,empty
36,22,Start,AR/86,500,500,0,empty
37,22,AR/86,VJ/86,500,544,280,ICA-ICA
38,22,VJ/86,FA/86,546,561,268,ICA-ICA
39,22,FA/86,CPH/86,567,692,337,EB15Talgo
40,22,CPH/86,End,692,692,0,empty
41,23,Start,CPH/86,386,386,0,empty
42,23,CPH/86,FA/86,386,514,414,EB15Talgo
43,23,FA/86,VJ/86,518,531,253,ICA-ICA-ICA
44,23,VJ/86,AR/86,533,578,226,ICA-ICA
45,23,AR/86,End,578,578,0,empty
46,26,Start,AR/86,560,560,0,empty
47,26,AR/86,VJ/86,560,604,226,ICA-ICA
48,26,VJ/86,FA/86,606,621,257,ICA-ICA
49,26,FA/86,CPH/86,627,752,373,EB4DD
50,26,CPH/86,End,752,752,0,empty
51,27,Start,CPH/86,446,446,0,empty
52,27,CPH/86,FA/86,446,574,482,EB5DD
53,27,FA/86,VJ/86,578,591,231,ICA-ICA
54,27,VJ/86,AR/86,593,638,195,ICA-ICA
55,27,AR/86,End,638,638,0,empty
56,30,Start,AR/86,620,620,0,empty
57,30,AR/86,VJ/86,620,664,253,ICA-ICA
58,30,VJ/86,FA/86,666,681,278,ICA-ICA
59,30,FA/86,CPH/86,687,812,333,EB15Talgo
60,30,CPH/86,End,812,812,0,empty
61,31,Start,CPH/86,506,506,0,empty
62,31,CPH/86,FA/86,506,634,350,EB15Talgo
63,31,FA/86,VJ/86,638,651,227,ICA-ICA
64,31,VJ/86,AR/86,653,698,218,ICA-ICA
65,31,AR/86,End,698,698,0,empty
66,34,Start,AR/86,680,680,0,empty
67,34,AR/86,VJ/86,680,724,226,ICA-ICA
68,34,VJ/86,FA/86,726,741,248,ICA-ICA
69,34,FA/86,CPH/86,747,872,348,EB4DD
70,34,CPH/86,End,872,872,0,empty
71,35,Start,CPH/86,566,566,0,empty
72,35,CPH/86,FA/86,566,694,237,ERF-ERF
