TripId,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
2,6,AR/86,VJ/86,254,304,54,2xICA
3,6,VJ/86,FA/86,306,321,58,1xICA
4,6,FA/86,CPH/86,327,452,246,1xEB15Talgo
7,10,AR/86,VJ/86,320,364,153,2xICA
8,10,VJ/86,FA/86,366,381,203,2xICA
9,10,FA/86,CPH/86,387,512,614,3xERF
12,11,OD/86,FA/86,303,334,10,1xMGA
13,11,FA/86,VJ/86,338,351,15,1xMGA
14,11,VJ/86,AR/86,353,398,69,1xICA
17,14,AR/86,VJ/86,380,424,413,3xICA
18,14,VJ/86,FA/86,426,441,462,4xICA
19,14,FA/86,CPH/86,447,572,663,3xERF
22,15,OD/86,FA/86,366,394,92,1xERF
23,15,FA/86,VJ/86,396,409,126,1xICA
24,15,VJ/86,AR/86,411,455,182,1xMGA
27,18,AR/86,VJ/86,440,484,485,4xICA
28,18,VJ/86,FA/86,486,501,467,4xICA
29,18,FA/86,CPH/86,507,632,492,1xEB15Talgo
32,19,CPH/86,FA/86,326,454,332,1xEB15Talgo
33,19,FA/86,VJ/86,458,471,300,2xICA
34,19,VJ/86,AR/86,473,518,232,2xICA
37,22,AR/86,VJ/86,500,544,280,2xICA
38,22,VJ/86,FA/86,546,561,268,2xICA
39,22,FA/86,CPH/86,567,692,337,1xEB15Talgo
42,23,CPH/86,FA/86,386,514,414,1xEB15Talgo
43,23,FA/86,VJ/86,518,531,253,2xICA
44,23,VJ/86,AR/86,533,578,226,2xICA
47,26,AR/86,VJ/86,560,604,226,2xICA
48,26,VJ/86,FA/86,606,621,257,2xICA
49,26,FA/86,CPH/86,627,752,373,1xEB4DD
52,27,CPH/86,FA/86,446,574,482,1xEB5DD
53,27,FA/86,VJ/86,578,591,231,2xICA
54,27,VJ/86,AR/86,593,638,195,2xICA
57,30,AR/86,VJ/86,620,664,253,2xICA
58,30,VJ/86,FA/86,666,681,278,2xICA
59,30,FA/86,CPH/86,687,812,333,1xEB15Talgo
62,31,CPH/86,FA/86,506,634,350,1xEB15Talgo
63,31,FA/86,VJ/86,638,651,227,2xICA
64,31,VJ/86,AR/86,653,698,218,2xICA
67,34,AR/86,VJ/86,680,724,226,2xICA
68,34,VJ/86,FA/86,726,741,248,2xICA
69,34,FA/86,CPH/86,747,872,348,1xEB4DD
72,35,CPH/86,FA/86,566,694,237,2xERF
73,35,FA/86,VJ/86,698,711,160,2xICA
