TrainCategory,TrainId,Station,Arrival,Departure,Type
EX,1199,KH,00:00:00,18:22:00,stop
EX,1199,GB,18:25:00,18:25:00,stop
EX,1199,NEL,18:26:00,18:26:00,pass
EX,1199,IG,18:26:20,18:26:20,pass
EX,1199,AVH,18:28:00,18:28:00,pass
EX,1199,KIB,18:34:00,18:34:00,pass
EX,1199,JSF,18:38:00,18:38:00,pass
EX,1199,KJN,18:39:00,18:39:00,pass
EX,1199,LEL,18:40:00,18:40:00,pass
EX,1199,BJS,18:42:00,18:42:00,pass
EX,1199,ADA,18:46:00,18:46:00,pass
EX,1199,RG,18:50:00,18:52:00,stop
EX,1199,FJ,18:56:00,18:56:00,stop
EX,1199,SO,18:58:00,18:58:00,pass
EX,1199,SG,19:04:00,19:04:00,pass
EX,1199,FO,19:07:00,19:07:00,pass
EX,1199,KØ,19:10:00,19:10:00,pass
EX,1199,SPR,19:16:00,19:16:00,pass
EX,1199,NG,19:21:00,19:21:00,pass
EX,1199,JU,19:23:00,19:23:00,pass
EX,1199,UV,19:25:00,19:25:00,pass
EX,1199,LV,19:27:00,19:27:00,pass
EX,1199,MV,19:28:00,19:28:00,pass
EX,1199,OD,19:33:00,19:36:00,stop
EX,1199,HP,19:41:00,19:41:00,stop
EX,1199,TP,19:44:00,19:44:00,pass
EX,1199,SC,19:45:00,19:45:00,pass
EX,1199,BD,19:46:00,19:46:00,pass
EX,1199,AP,19:48:00,19:48:00,pass
EX,1199,GD,19:50:00,19:50:00,pass
EX,1199,EB,19:52:00,19:52:00,pass
EX,1199,NA,19:54:00,19:54:00,pass
EX,1199,KA,19:56:00,19:56:00,pass
EX,1199,MD,20:00:00,20:00:00,pass
EX,1199,SNO,20:03:00,20:03:00,pass
EX,1199,TL,20:06:00,20:06:00,pass
EX,1199,KD,20:12:00,20:15:00,stop
EX,1199,LK,20:22:00,20:22:00,stop
EX,1199,VM,20:24:00,20:24:00,pass
EX,1199,FZ,20:27:00,20:27:00,pass
EX,1199,SST,20:30:00,20:30:00,pass
EX,1199,OJ,20:33:00,20:33:00,pass
EX,1199,RQ,20:41:00,20:41:00,pass
EX,1199,TE,20:48:00,20:48:00,pass
EX,1199,VK,20:52:00,20:52:00,pass
EX,1199,PA,20:57:00,21:02:00,stop
EX,1199,PAGR,21:03:00,21:03:00,stop
EX,1199,AHAL,21:10:00,21:10:00,pass
EX,1199,AFW,21:20:00,21:20:00,pass
EX,1199,ASW,21:28:00,21:30:00,stop
EX,1199,AR,22:00:00,22:00:00,stop
EX,1199,NEU,22:20:00,22:20:00,pass
EX,1199,AEL,22:40:00,22:40:00,pass
EX,1199,AE_F,22:45:00,22:45:00,pass
EX,1199,ALA,22:50:00,22:50:00,pass
EX,1199,ADF,22:56:00,22:56:00,pass
EX,1199,HMB,23:04:00,00:00:00,stop
EX,1198,HMB,00:00:00,06:50:00,stop
EX,1198,ADF,06:57:00,06:57:00,stop
EX,1198,ALA,07:05:00,07:05:00,pass
EX,1198,AE_F,07:10:00,07:10:00,pass
EX,1198,AEL,07:28:00,07:28:00,pass
EX,1198,NEU,07:35:00,07:35:00,pass
EX,1198,AR,08:00:00,08:00:00,pass
EX,1198,ASW,08:24:00,08:26:00,stop
EX,1198,AFW,08:40:00,08:40:00,stop
EX,1198,AHAL,08:46:00,08:46:00,pass
EX,1198,PAGR,08:51:00,08:51:00,pass
EX,1198,PA,08:54:00,09:03:00,stop
EX,1198,VK,09:07:00,09:07:00,stop
EX,1198,TE,09:11:00,09:11:00,pass
EX,1198,RQ,09:18:00,09:18:00,pass
EX,1198,OJ,09:26:00,09:26:00,pass
EX,1198,SST,09:30:00,09:30:00,pass
EX,1198,FZ,09:33:00,09:33:00,pass
EX,1198,VM,09:35:00,09:35:00,pass
EX,1198,LK,09:37:00,09:37:00,pass
EX,1198,KD,09:44:00,09:46:00,stop
EX,1198,TL,09:52:00,09:52:00,stop
EX,1198,SNO,09:56:00,09:56:00,pass
EX,1198,MD,10:00:00,10:00:00,pass
EX,1198,KA,10:03:00,10:03:00,pass
EX,1198,NA,10:05:00,10:05:00,pass
EX,1198,EB,10:07:00,10:07:00,pass
EX,1198,GD,10:08:00,10:08:00,pass
EX,1198,AP,10:11:00,10:11:00,pass
EX,1198,BD,10:13:00,10:13:00,pass
EX,1198,SC,10:14:00,10:14:00,pass
EX,1198,TP,10:15:00,10:15:00,pass
EX,1198,HP,10:18:00,10:18:00,pass
EX,1198,OD,10:24:00,10:27:00,stop
EX,1198,MV,10:31:00,10:31:00,stop
EX,1198,LV,10:33:00,10:33:00,pass
EX,1198,UV,10:35:00,10:35:00,pass
EX,1198,JU,10:37:00,10:37:00,pass
EX,1198,NG,10:39:00,10:39:00,pass
EX,1198,SPR,10:43:00,10:43:00,pass
EX,1198,KØ,10:48:00,10:48:00,pass
EX,1198,FO,10:51:00,10:51:00,pass
EX,1198,SG,10:54:00,10:54:00,pass
EX,1198,SO,11:00:00,11:00:00,pass
EX,1198,FJ,11:03:00,11:03:00,pass
EX,1198,RG,11:07:00,11:09:00,stop
EX,1198,ADA,11:13:00,11:13:00,stop
EX,1198,BJS,11:16:00,11:16:00,pass
EX,1198,LEL,11:18:00,11:18:00,pass
EX,1198,KJN,11:20:00,11:20:00,pass
EX,1198,JSF,11:20:20,11:20:20,pass
