TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Electrified,GGVId,Distance,UnitSpecificId
2204,IC,80108,FA/86,HGL/86,356,505,445,true,-1,225.8,EB15Talgo_1
2264,IC,835,HGL/86,OD/86,556,660,114,true,-1,163.3,EB15Talgo_1
2265,IC,835,OD/86,ES/86,669,746,74,true,-1,142.3,EB15Talgo_1
2276,IC,842,ES/86,OD/86,812,892,152,true,242_842,142.3,EB15Talgo_1
2277,IC,842,OD/86,HGL/86,900,1003,242,true,242_842,163.3,EB15Talgo_1
2328,IC,867,HGL/86,OD/86,1036,1140,372,true,-1,163.3,EB15Talgo_1
2329,IC,867,OD/86,ES/86,1149,1226,114,true,-1,142.3,EB15Talgo_1
736,IC,2387,ES/86,FA/86,1421,1485,3,true,-1,88.5,EB15Talgo_1
518,IC,223,CPH/86,OD/86,365,468,188,true,-1,166.9,EB15Talgo_2
1018,RV,2727,OD/86,FA/86,526,588,10,true,-1,60.3,EB15Talgo_2
2064,IC,5757,FA/86,FLB/80,630,713,17,true,-1,121.6,EB15Talgo_2
2061,IC,5756,FLB/80,FA/86,723,810,38,true,-1,121.6,EB15Talgo_2
1943,RV,4740,FA/86,OD/86,810,856,37,true,-1,60.3,EB15Talgo_2
767,IC,242,OD/86,CPH/86,909,1014,179,true,242_842,166.9,EB15Talgo_2
1039,RØ,275,CPH/86,SG/86,1145,1215,44,true,-1,99.5,EB15Talgo_2
993,RØ,262,SG/86,CPH/86,1244,1314,27,true,-1,99.5,EB15Talgo_2
2464,M,9702,CPH/86,HGL/86,369,397,0,true,-1,17.0,EB15Talgo_3
2248,IC,827,HGL/86,OD/86,436,540,259,true,227_827,163.3,EB15Talgo_3
2249,IC,827,OD/86,ES/86,549,626,107,true,227_827,142.3,EB15Talgo_3
2268,IC,838,ES/86,OD/86,752,832,106,true,238_838,142.3,EB15Talgo_3
2269,IC,838,OD/86,HGL/86,840,943,175,true,238_838,163.3,EB15Talgo_3
1207,RØ,3363,HGL/86,RO/86,965,1003,177,true,-1,36.5,EB15Talgo_3
2374,M,9163,RO/86,NÆ/86,1008,1040,0,true,-1,59.4,EB15Talgo_3
1644,RØ,4250,NÆ/86,HG/86,1048,1172,110,true,-1,136.9,EB15Talgo_3
981,RØ,2583,HG/86,RO/86,1213,1298,86,true,-1,77.5,EB15Talgo_3
999,RØ,266,RO/86,CPH/86,1340,1374,12,true,-1,37.9,EB15Talgo_3
27,EX,1198,HMB/80,PA/86,410,534,0,true,-1,184.5,EB15Talgo_4
28,EX,1198,PA/86,KH/86,543,698,68,true,-1,321.6,EB15Talgo_4
1334,EX,395,KH/86,HMB/80,742,1024,282,true,-1,506.1,EB15Talgo_4
588,IC,227,CPH/86,OD/86,425,530,208,true,227_827,166.9,EB15Talgo_5
1934,RV,4729,OD/86,FA/86,580,626,10,true,-1,60.3,EB15Talgo_5
1021,RV,2728,FA/86,OD/86,635,694,11,true,-1,60.3,EB15Talgo_5
1940,RV,4737,OD/86,FA/86,704,750,15,true,-1,60.3,EB15Talgo_5
1027,RV,2736,FA/86,OD/86,750,801,15,true,-1,60.3,EB15Talgo_5
733,IC,238,OD/86,CPH/86,849,954,218,true,238_838,166.9,EB15Talgo_5
1002,RØ,267,CPH/86,SG/86,1025,1095,87,true,-1,99.5,EB15Talgo_5
921,RØ,254,SG/86,CPH/86,1124,1194,44,true,-1,99.5,EB15Talgo_5
1351,EX,396,HMB/80,KH/86,653,938,274,true,-1,506.1,EB15Talgo_6
1360,EX,399,KH/86,HMB/80,982,1264,201,true,-1,506.1,EB15Talgo_6
23,EX,1196,HMB/80,PA/86,712,833,0,true,-1,184.5,EB15Talgo_7
24,EX,1196,PA/86,KH/86,843,998,149,true,-1,321.6,EB15Talgo_7
31,EX,1199,KH/86,PA/86,1102,1257,158,true,-1,321.6,EB15Talgo_7
32,EX,1199,PA/86,HMB/80,1262,1384,0,true,-1,184.5,EB15Talgo_7
594,RØ,2272,KH/86,HG/86,7,62,29,true,-1,46.2,EB4DD_1
1818,RØ,4525,HG/86,HK/86,343,457,108,true,-1,113.3,EB4DD_1
879,RØ,2510,HK/86,HG/86,473,587,424,true,-1,113.3,EB4DD_1
1635,RØ,4243,HG/86,NÆ/86,628,752,165,true,-1,136.9,EB4DD_1
1620,RØ,4234,NÆ/86,HG/86,808,932,192,true,-1,136.9,EB4DD_1
1879,RØ,4565,HG/86,HK/86,943,1057,352,true,-1,113.3,EB4DD_1
939,RØ,2550,HK/86,HG/86,1073,1187,107,true,-1,113.3,EB4DD_1
604,RØ,2281,HG/86,NÆ/86,1198,1322,87,true,-1,136.9,EB4DD_1
755,RØ,2408,NÆ/86,KH/86,396,463,300,true,-1,79.2,EB4DD_10
1216,RR,3408,KH/86,HG/86,466,516,109,true,-1,46.2,EB4DD_10
918,RØ,2539,HG/86,HK/86,553,667,198,true,-1,113.3,EB4DD_10
1815,RØ,4524,HK/86,HG/86,683,797,135,true,-1,113.3,EB4DD_10
1653,RØ,4255,HG/86,NÆ/86,808,932,306,true,-1,136.9,EB4DD_10
802,RØ,2444_3444,NÆ/86,KH/86,936,1003,107,true,-1,79.2,EB4DD_10
803,RØ,2444_3444,KH/86,HG/86,1006,1056,177,true,-1,46.2,EB4DD_10
1263,RØ,3473_4473,HG/86,KH/86,1074,1124,60,true,-1,46.2,EB4DD_10
1264,RØ,3473_4473,KH/86,NÆ/86,1127,1192,59,true,-1,79.2,EB4DD_10
1721,RØ,4410,NÆ/86,KH/86,426,493,307,true,-1,79.2,EB4DD_11
1328,EX,393,KH/86,HMB/80,502,786,229,true,-1,506.1,EB4DD_11
1321,EX,392,HMB/80,KH/86,1130,1417,25,true,-1,506.1,EB4DD_11
245,IC,1472,KH/86,CPH/86,19,32,3,true,-1,11.8,EB4DD_2
2480,M,9782,CPH/86,HGL/86,152,179,0,true,-1,17.0,EB4DD_2
2232,IC,819,HGL/86,OD/86,316,420,109,true,-1,163.3,EB4DD_2
2233,IC,819,OD/86,ES/86,429,506,145,true,-1,142.3,EB4DD_2
2252,IC,830,ES/86,OD/86,632,712,98,true,-1,142.3,EB4DD_2
2253,IC,830,OD/86,HGL/86,720,823,155,true,-1,163.3,EB4DD_2
2304,IC,855,HGL/86,OD/86,856,960,314,true,255_855,163.3,EB4DD_2
2305,IC,855,OD/86,ES/86,969,1046,171,true,255_855,142.3,EB4DD_2
2308,IC,858,ES/86,OD/86,1052,1132,70,true,-1,142.3,EB4DD_2
2309,IC,858,OD/86,HGL/86,1140,1243,99,true,-1,163.3,EB4DD_2
2483,M,9783,HGL/86,KH/86,1267,1277,0,true,-1,5.2,EB4DD_2
248,IC,1476,KH/86,CPH/86,79,92,22,true,-1,11.8,EB4DD_3
628,RØ,231,CPH/86,SG/86,485,555,109,true,-1,99.5,EB4DD_3
469,RØ,218,SG/86,CPH/86,584,654,70,true,-1,99.5,EB4DD_3
782,RØ,243,CPH/86,SG/86,665,735,42,true,-1,99.5,EB4DD_3
619,RØ,230,SG/86,CPH/86,764,834,74,true,-1,99.5,EB4DD_3
936,IC,255,CPH/86,OD/86,845,950,217,true,255_855,166.9,EB4DD_3
828,IC,246,OD/86,CPH/86,969,1074,97,true,246_846,166.9,EB4DD_3
1008,RØ,271,CPH/86,SG/86,1085,1155,69,true,-1,99.5,EB4DD_3
978,RØ,258,SG/86,CPH/86,1184,1254,63,true,-1,99.5,EB4DD_3
1072,RØ,283,CPH/86,RO/86,1265,1299,73,true,-1,37.9,EB4DD_3
1668,RØ,4266,RO/86,HG/86,1327,1412,137,true,-1,77.5,EB4DD_3
613,RØ,2297,HG/86,KH/86,1438,1493,2,true,-1,46.2,EB4DD_3
1580,RØ,4202,NÆ/86,HG/86,265,392,106,true,-1,136.9,EB4DD_4
906,RØ,2531,HG/86,HK/86,433,547,421,true,-1,113.3,EB4DD_4
