TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Distance,UnitSpecificId
437,RØ,295,CPH/86,RO/86,5,39,9,37.9,EB15Talgo_1
2662,M,9176,RO/86,KK/86,60,92,0,34.4,EB15Talgo_1
224,IC,129,KK/86,FA/86,461,602,252,223.7,EB15Talgo_1
221,IC,128,FA/86,KK/86,656,799,125,223.7,EB15Talgo_1
2275,RØ,4453,KK/86,NÆ/86,818,892,93,82.3,EB15Talgo_1
2146,RØ,4242,NÆ/86,HG/86,928,1052,411,136.9,EB15Talgo_1
1798,RØ,3473,HG/86,KH/86,1074,1124,60,46.2,EB15Talgo_1
2746,M,12394,KH/86,HGL/86,1183,1193,0,5.2,EB15Talgo_1
2719,M,9785,HGL/86,CPH/86,1297,1326,0,17.0,EB15Talgo_1
907,IC,1401,CPH/86,KH/86,12,25,74,11.8,EB15Talgo_2
1192,RØ,2299,KH/86,NÆ/86,70,134,28,90.7,EB15Talgo_2
1309,RØ,2400,NÆ/86,KH/86,276,343,55,79.2,EB15Talgo_2
1429,RØ,2500,KH/86,HG/86,352,407,13,46.2,EB15Talgo_2
1105,RØ,2229,HG/86,NÆ/86,418,542,398,136.9,EB15Talgo_2
2224,RØ,4418,NÆ/86,KK/86,546,622,85,82.3,EB15Talgo_2
646,IC,839,KK/86,OD/86,623,720,157,161.2,EB15Talgo_2
647,IC,839,OD/86,ES/86,729,806,104,142.3,EB15Talgo_2
650,IC,842,ES/86,OD/86,812,892,152,142.3,EB15Talgo_2
651,IC,842,OD/86,HGL/86,900,1003,242,163.3,EB15Talgo_2
702,IC,867,HGL/86,OD/86,1036,1140,372,163.3,EB15Talgo_2
703,IC,867,OD/86,ES/86,1149,1226,114,142.3,EB15Talgo_2
1300,IC,2377,ES/86,FA/86,1263,1327,48,88.5,EB15Talgo_2
1585,RR,2776,FA/86,OD/86,1347,1401,15,60.3,EB15Talgo_2
1591,RV,2785,OD/86,FA/86,1416,1470,14,60.3,EB15Talgo_2
913,IC,1413,CPH/86,KH/86,206,219,4,11.8,EB15Talgo_3
1084,RØ,2217,KH/86,NÆ/86,296,362,36,90.7,EB15Talgo_3
2215,RØ,4406,NÆ/86,KH/86,366,433,253,79.2,EB15Talgo_3
1336,RØ,2427,KH/86,NÆ/86,437,502,85,79.2,EB15Talgo_3
2107,RØ,4214,NÆ/86,HG/86,508,632,265,136.9,EB15Talgo_3
2350,RØ,4545,HG/86,HK/86,643,757,137,113.3,EB15Talgo_3
1462,RØ,2530,HK/86,HG/86,773,887,161,113.3,EB15Talgo_3
1153,RØ,2261,HG/86,NÆ/86,898,1022,437,136.9,EB15Talgo_3
2272,RØ,4450,NÆ/86,KH/86,1026,1093,54,79.2,EB15Talgo_3
792,EX,1199,KH/86,PA/86,1102,1257,158,321.6,EB15Talgo_3
793,EX,1199,PA/86,HMB/80,1262,1384,0,184.5,EB15Talgo_3
1195,IC,2304,FA/86,ES/86,307,370,19,88.5,EB15Talgo_4
595,IC,814,ES/86,OD/86,392,472,191,142.3,EB15Talgo_4
596,IC,814,OD/86,HGL/86,480,583,305,163.3,EB15Talgo_4
2620,M,6431,HGL/86,CPH/86,669,695,0,17.0,EB15Talgo_4
380,RØ,247,CPH/86,SG/86,725,795,42,99.5,EB15Talgo_4
359,RØ,234,SG/86,CPH/86,824,894,134,99.5,EB15Talgo_4
398,IC,259,CPH/86,OD/86,905,1010,347,166.9,EB15Talgo_4
383,IC,250,OD/86,CPH/86,1029,1134,70,166.9,EB15Talgo_4
